case,document_nr,document_name,document_href,text,log
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"95.The complaint is included in communications provided by the Workers鈥?Union of the Campinas Municipal Services and National Confederation of Public Municipal Employees (CSPM), dated 9聽April and 19 July 2019.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],96.The Government sent its observations in a communication dated 12 August 2019.,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"97.Brazil has not ratified the Freedom of Association and Protection of the Freedom of Association and Protection of the Right to Organise Convention, 1948 (No. 87), but it has ratified the Right to Organise and Collective Bargaining Convention, 1949 (No. 98), the Labour Relations (Public Service) Convention, 1978 (No. 151), and the Collective Bargaining Convention, 1981 (No. 154).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"98.In its communications dated 9 April and 19 July 2019, the complainant organizations indicate that the President of the Republic approved, on 1 March 2019, Provisional Measure (PM) No.聽873/2019, amending the Consolidation of Labour Laws (CLT) and directly impacting the unions鈥?funding model. The complainant organizations indicate that the PM drastically changes the way in which union contributions are raised, making it impossible to deduct trade union dues at source for workers, and allege","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"that this has a significant impact on the organization and performance of the unions. The complainant organizations indicate that the PM amends sections 545, 578, 579, 579A and 852 of the CLT and allege that the main changes that will negatively affect the unions are the following:the measure makes it impossible to directly deduct union contributions or dues at source for workers, determining that the collection of union dues will be made exclusively by means of a deposit slip or electronic","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"equivalent, which the union must send to the employee at home or, where this is not possible, to the enterprise鈥檚 headquarters. The complainant organizations allege that the fact that direct deduction cannot be made from the worker鈥檚 wage will have a drastic effect on the system for collecting union dues, which will become more bureaucratic and significantly more onerous, since it will be necessary to issue receipts through the banking system, which represents a financial and time-consuming cost","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"for the trade union organizations that may even exceed the income from the funds raised; andthe measure requires the prior, individual, express and written authorization of the worker for the collection of trade union contributions, determining that any clause to the contrary is null and void, even if authorized by collective bargaining.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"99.The complainant organizations allege that the new requirements imposed by the PM will make the collection of trade union contributions extremely difficult and will therefore directly affect trade unions in the very sensitive areas of their financial management and income generation, thus compromising their sustainability. They consider that the restriction proposed by the PM not only affects the freedom and collective autonomy of trade unions, but also directly affects the autonomy and power","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"of individual self-determination of the worker, who is prevented from having the contribution he or she chose to make deducted from source. They also allege that the PM was issued without prior consultation with workers鈥?and employers鈥?representatives and that its content not only implies an anti-union position, but also constitutes an anti-democratic practice that restricts the collective rights and freedoms of trade unions, as well as the individual rights and freedoms of workers.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
Case No 3355 (Brazil),9-Apr-19,"Sindicato dos Trabalhadores do Servicio P煤blico Municipal 
de Campinas y CSPM",['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436'],"100.The complainant organizations indicate that in November 2017, Act No. 13.467 (labour reform) was approved, amending several provisions of the CLT and incorporating new provisions into the legal text. The amended provisions include the above-mentioned sections 578 and 579. The complainant organizations indicate that prior to the labour reform, these sections provided that union contributions were mandatory and that, since the reform, union contributions have become optional and dependent on","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141436, response status: 200"
