case,document_nr,document_name,document_href,text,log
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","252.The Committee last examined this case (presented in December 2016) at its March 2022 meeting, when it presented an interim report to the Governing Body [see 397th Report, approved by the Governing Body at its 344th Session (March 2022), paras 332鈥?64].","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","253.The complainant organization submitted new allegations in its communications dated 23聽February, 1, 18 and 22 March, 11 April, 4, 29 and 30 September, 10, 14 and 24 October, 5聽and 13 December 2022, and 9 and 23 February, 21 April, 28 May, 11 June, 20 July and 6 September 2023.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","254.The Government submitted its observations in communications dated 2 and 17 March, 11 July, 24 and 26 August, 24 October, 16 November 2022, and 1 February, 2 March, 25 April, 5 and 12 October 2023.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","255.At its March 2022 meeting, the Committee made the following recommendations [see 397th聽Report, para. 364]:(a) The Committee once again firmly urges the Government to ensure that the Independent Trade Union Association of Cuba (ASIC) is given recognition and that it can freely operate and carry out its trade union activities.(b) The Committee once again strongly urges the Government to ensure that an investigation is made into all the allegations of acts of aggression and restrictions on public freedoms raised with respect to Mr Iv谩n Hern谩ndez Carrillo, Mr Osvaldo Arcis Hern谩ndez, Mr聽B谩rbaro Tejeda S谩nchez, Mr Pavel Herrera Hern谩ndez, Mr Emilio Gottardi Gottardi, Mr聽Ra煤l Zerguera Borrell, Mr Reinaldo Cosano Al茅n, Mr Felipe Carrera Hern谩ndez, Mr聽Pedro Scull, Mr L谩zaro Ricardo P茅rez, Mr Hiosvani Pupo, Mr Daniel Perea Garc铆a, Mr聽Dannery G贸mez Galeto, Mr Willian Esm茅rido Cruz, Mr Roque Iv谩n Mart铆nez Beldarrain, Mr Yuvisley Roque Rajadel, Mr Yakdislania Hurtado Bicet, Mr Alejandro S谩nchez Zald铆var, Mr Jefferson Ismael Polo Mezerene, Mr Ram贸n Zamora Rodr铆guez, Mr Yisan Zamora Ricardo, Mr Lisan Zamora Ricardo, Mr Ulises Rafael Hern谩ndez L贸pez, Mr Daniel Perea Garc铆a, Mr Humberto Bello Lafita, Ms Aim茅e de las Mercedes Cabrera 脕lvarez, Ms Ariadna Mena Rubio, Ms Hilda Aylin L贸pez Salazar, Ms Anairis Dania Mezerene S谩nchez, Ms聽Consuelo Rodr铆guez Hern谩ndez and Ms Mail铆n Ricardo G贸ngora; and to provide the Committee with further detailed information on the outcome (copies of decisions or rulings) of any administrative or judicial proceedings instituted in relation to the above-mentioned allegations, and to include a copy of the conviction against Mr Humberto Bello Lafita. The Committee requests the Government to ensure that no workers are arrested for their trade union activities.(c) The Committee also requests the Government to send its observations on the allegations by ASIC, contained in its communication dated 6 December 2021, and ensure that an investigation is conducted into the allegations of acts of aggression and restrictions on public freedoms made in the above-mentioned communications.(d) Regarding the alleged restrictions on the capacity of ASIC members to participate in international activities related to their trade union work, the Committee reminds the Government that it must not restrict the right of ASIC officials and members to organize and freely exercise their trade union activities, including when these activities are conducted outside the country, or when they involve participation in international online forums.(e) The Committee firmly urges the Government to fully ensure that ASIC officials have the freedom of movement in the national territory to carry out their trade union activities without Government interference.(f) With regard to the alleged anti-union dismissals, the Committee requests the Government to send a copy of the outcome of the investigations into the dismissals of Mr Kelvin Vega Rizo and Mr Pavel Herrera. The Committee also urges the Government to investigate and send its observations on the new allegations of the anti-union dismissals of Mr Ismael Valent铆n Castro and Ms Dania Noriega, contained in the communication from ASIC dated 7 April 2021.(g) Given the lack of information in some instances and the lack of progress in others, the Committee invites the Government to accept a direct contacts mission to gather further information, facilitate dialogue between the parties and encourage the application of its recommendations.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","256.In its communications, the complainant provides new information on the specific violations of public freedoms of ASIC union officials and members.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","257.The complainant alleges, firstly, that 116 workers, 55 of which are employed by the State and 61 are self-employed, remain in prison, some of whom have already received heavy sentences, after having taken part in the peaceful social protests of 11 and 12 July 2021. The list of 116聽workers was drawn up by ASIC and its officials, including the provincial secretary of Holgu铆n, Mr Ram贸n Zamora Rodr铆guez, who had received threats for publishing it. The complainant indicates in this regard that many international bodies have spoken out against the violations committed by the State on those days, including the High Representative of the European Union for Foreign Affairs. The complainant alleges, in addition, that two ASIC members, Mr Yunier Herrera Rodr铆guez and Mr Humberto Bello Laffita, were arrested [in April 2022] after taking part in the 2021 peaceful demonstrations. It alleges in this respect that: (i)聽Mr聽Yunier Herrera Rodr铆guez was violently arrested on 12 July 2021, after peacefully demonstrating to reclaim the trade union rights constantly being violated by the regime. During the arrest, he was violently beaten, during which he lost a number of teeth. In prison, he is being bullied by prison guards who are trying to subjugate him; (ii) Mr Humberto Bello Laffita was arrested after responding to the peaceful call to demonstrate on 15 November 2021. He was sentenced to a one-year prison term for the alleged offence of 鈥渟preading an epidemic鈥? He is being held in prison 鈥?580鈥?in the San Miguel del Padr贸n district in Havana, kept in isolation in a punishment cell without electricity or drinking water (communication dated 11 April 2022).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","258.In numerous communications, the complainant alleges that ASIC members and officials are constantly subjected to threats and to frequent brief but arbitrary and intimidating arrests by state security agencies. It alleges specifically that:On 19 February 2022, the trade union activist, Mr Juan Alberto de la Nuez Ram铆rez, and brother of the independent ASIC member Mr B谩rbaro de la Nuez Ram铆rez, was arrested in Cienfuegos province while returning from a visit to the city of Col贸n in Matanzas province. Mr Juan Alberto de la Nuez Ram铆rez was taken in a police car to the provincial unit鈥檚 technical investigations department of the Departamento de Seguridad del Estado (DSE) (Department of State Security) in the city of Cienfuegos, where he was interrogated for four hours by an official of the secret political police about his visit to Matanzas province and his meeting with the ASIC general secretary. During the interrogation, the official accused him of 鈥渕ercenary activity鈥? allegedly for receiving funds from a foreign power for the purpose of 鈥渟ubverting internal order鈥? He warned him that, in addition to the fact that no trade unionist will be allowed to travel from one province to another for work meetings and that, with the new Criminal Code, any persons who accept financial assistance from abroad, including mobile phone top-ups, will be imprisoned (communication dated 23 February 2022).Mr Leonardo Hern谩ndez Camejo, an activist affiliated to ASIC鈥檚 Havana provincial secretariat, was stopped in the early hours of 16 March 2022 by a police car as he was leaving his home in the capital鈥檚 Centro Habana municipality and arbitrarily arrested. He was taken to the Zanja police unit in the same municipality, where he was placed in a cell and interrogated by a DSE agent about his trade union activities. He was released the same day after 7 p.m. and issued serious threats and warnings (communication dated 22聽March 2022). He was also threatened by the police during a subsequent interrogation in August 2023 (communication dated 6 September 2023).On 22 February 2022, three state security agents arrested ASIC鈥檚 general secretary in Holgu铆n province, Mr Ram贸n Zamora Ricardo Rodr铆guez, at his home and took him to the criminal prosecution unit in Pedernales, where they issued him with a warning for his posts on social media networks, warning him that if he continued, he would be prosecuted for the offences of 鈥渆nemy propaganda鈥?and 鈥渄issemination of fake news鈥? Mr Ram贸n Zamora Ricardo Rodr铆guez, his two sons Yisan Zamora Ricardo (ASIC youth secretary) and Lisan Zamora Ricardo, and his wife, Ms Mail铆n Ricardo, were victims of fresh attacks on 5聽October 2022. They were arrested after demonstrating peacefully the previous day in front of their home, banging pots and pans to protest against the continuous and prolonged power cuts, in a simultaneous demonstration with neighbours in the area. Department of State Security agents raided the home of Mr Ram贸n Zamora Ricardo Rodr铆guez, seizing all telephones, computer equipment and printed trade union training material, as well as documents relating to his responsibilities as ASIC鈥檚 national trade union leader. The family was subsequently transferred to the centre for criminal and police investigations in Holgu铆n province for public order offences. The wife was released the same night, and the other family members four days later, without any explanation and with total disregard for their human and procedural rights (communications dated 10 and 14 October 2022).On Sunday 16 October 2022, ASIC provincial secretary, Mr Ib谩n Guerra Hern谩ndez, and his wife, Ms Kety Mart铆nez, were summoned to the police unit in the municipality of Santa Cruz del Norte, Mayabeque province. During the interrogation by a DSE agent, the latter threatened the trade unionist with imprisonment and gave him a warning. In the case of his wife, who is not an ASIC member, the police officer interrogated her separately and warned her that her husband would go to prison for his activism and especially for his comments on social media (communication dated 24 October 2022).Also subjected to threats from DSE agents, in the province of Cienfuegos in November 2022, were ASIC national executive member, Mr Carlos Roberto Reyes (a victim of similar threats on other occasions), and ASIC representative in the aforementioned province, Ms聽Consuelo Rodr铆guez Hern谩ndez, and her husband Mr L谩zaro Roberto Aguiar Mendoza (who were subjected to harassment in the street and threats at work). A DSE agent took the opportunity to send an intimidating message through Mr L谩zaro Roberto Aguiar Mendoza to Mr Carlos Roberto Reyes Consuegras, ASIC executive member, to stop him from continuing to register complaints and send them to ASIC鈥檚 general secretary, Mr Iv谩n Hern谩ndez Carrillo (communication dated 5 December 2022).On 9 December 2022, trade unionists Mr L谩zaro Roberto Aguiar Mendoza and Mr Carlos Roberto Reyes Consuegras were arrested in the municipality of Cruces. After agents of the National Revolutionary Police and an unidentified DSE agent searched their belongings, they were warned that they could not leave the municipality of Cruces until after 10 December. On that date, ASIC provincial secretary, Ms Yorsi Kelin S谩nchez Perdig贸n, was arrested at her home in Sancti Sp铆ritus and taken to the police unit in the city, where she was detained for three days. According to relatives, the arrest followed a call for a national strike. On the same day, several trade unionists were kept under house arrest and not allowed to leave: in the municipality of Caibari茅n, Mr Ismael Castro Valent铆n and Ms Dania Marit茅 Noriega Castriz; in Havana, trade union journalist Ms Yunia Figueredo Cruz; in the municipality of Cruces, Mr Carlos Reyes Consuegras; and in Col贸n, Mr Iv谩n Hern谩ndez Carrillo, ASIC general secretary, was kept under close guard in and around his home. On 8 December 2022, another ASIC member, Mr Yolsdan Armenteros V谩zquez, was summoned to the 3rd police unit in Santa Clara, where he was threatened with conviction under the new Criminal Code 鈥?which increases the number of crimes that carry life imprisonment and the death penalty 鈥?if he continued to post news on social media (communication dated 13 December 2022).Seven ASIC activists and officials were arrested in early February 2023: activists Mr Luis Orlando Le贸n Randich, Mr Ulises Gonz谩lez, Mr Leonardo Hern谩ndez Camejo, Ms Yaquelin Dalis Caballero, Mr Felipe Carrera Hern谩ndez, as well as provincial secretaries Mr Reinaldo Cosano Al茅n and Mr Emilio Gottardi Gottardi, who had previously been briefly arrested on 24 February 2022 by a police unit while on his way to the home of an opposition activist in the Santo Su谩rez neighbourhood (communication dated 1 March 2022). During the arrests, in addition to the persistent threats of judicial sanctions and the attempt to implicate general secretary Mr Iv谩n Hern谩ndez Carrillo in an offence, an accusation of a heinous crime was recorded for the first time: DSE agents told the detainees that there was a 鈥渟uspicion鈥?that ASIC members might be involved in the 鈥減oisoning of the water in los c铆rculos infantiles [children鈥檚 day-care centres]鈥? which, according to the agents, was under investigation (communication dated 9 February 2023). Furthermore, during interrogations on 7 February, the DSE agents added the serious accusation that they considered ASIC to be 鈥渁 terrorist organization鈥?(communication dated 23 February 2023).ASIC general secretary, Mr Iv谩n Hern谩ndez Carrillo, is particularly targeted by threats. The complainant recalls that he was one of the 75 prisoners of the 鈥淏lack Spring鈥?of March聽2003, sentenced to an arbitrary and excessive 25-year prison term, of which he served eight years and six months. In 2011 he was granted a licencia extrapenal [parole], meaning that the sentence still hangs over him and he could be sent to prison to serve the remainder of his sentence without any judicial proceedings (communications dated 4聽September 2022 and 9 February 2023). On Tuesday, 21 February 2023, he was arrested as he left the El Focsa building in Havana, together with another independent trade unionist, Ms Maybell Padilla P茅rez, and was taken away in a police car. Around 20 officers from the political and national police took part in the operation led by two DSE agents. The reason for his arrest centred on the ban on visiting Havana. Mr Iv谩n Hern谩ndez Carrillo was kept locked in a patrol car for four hours, with the outside temperature at 32聽degrees Celsius, before being taken to an interrogation office, where he was stripped completely naked in order to humiliate him. During the interrogation, in addition to the persistent threats of judicial sanctions and that his parole would be revoked, he was also banned from visiting the capital so as to prevent him from carrying out his trade union work (communication dated 23 February 2023). The political police officers who interrogated him behaved aggressively and violently throughout. The other trade unionist also suffered the same consequences.On 14 April 2023, the independent trade unionists Mr Leonardo Hern谩ndez Camejo and Mr Luis Orlando Le贸n Randich were interrogated by DSE agents about their work, as well as, in the same police station in Centro Habana, ASIC provincial secretary Mr Emilio Gottardi Gottardi. On the same day, in a police unit in the municipality of Habana Vieja, independent trade unionist Ms Yaquelin S谩nchez Batista was also interrogated about her trade union work. The aforementioned events are yet another example of the continued repressive actions of Ministry of the Interior institutions to prevent the normal development of the organization鈥檚 trade union activities, and show that the aim of the escalation of repression is, as the officials of this institution have stated, 鈥渢o dismantle ASIC and make it disappear鈥?(communication dated 21 April 2023).Independent trade unionists Mr Emilio Gottardi Gottardi and Mr Charles Rodr铆guez were subjected to unlawful and arbitrary treatment by the political police on their return to the island after attending international events on defending human and labour rights in Panama City in the space of a week. On 20 May 2023, at around 10.15聽p.m., on arrival in Havana, from the flight from Panama City, the trade unionists were subjected to an arbitrary search of their luggage and to a 鈥渃onversation鈥?with the political police 鈥?in reality an interrogation 鈥?about their trade union activities, the names of the leaders with whom they had met and the main issues they had discussed. This unlawful procedure lasted around three hours between the search and the detention, so that they remained at the airport until 1.30 a.m., being the last passengers to leave the airport (communication dated 28 May 2023).On the occasion of the commemoration of the second anniversary of the mass protests that shook the country on 11 July 2021, in order to pre-empt potential peaceful protests, in the days leading up to the date the regime arrested, threatened and interrogated a dozen independent trade unionists, Mr Alexis G贸mez Rodr铆guez, Mr Carlos Javier G贸mez Guevara, Mr Rodolfo Aparicio Alem谩n, ASIC provincial secretary Mr Emilio Gottardi Gottardi, and general secretary Mr Iv谩n Hern谩ndez Carrillo. Similarly, the homes of several ASIC activists were kept under surveillance by DSE agents: the homes of provincial secretary Mr Liv谩n Monteagudo Rivero, independent trade unionists Ms Yunia Figueredo Cruz, Ms Yaquelin Daly Caballero, Mr Ulises Gonz谩lez Moreno and Mr Emilio Gottardi Gottardi remained under siege throughout the day by police or DSE agents in civilian clothes (communication dated 20 July 2023).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","259.The complainant once again alleges that the harassment also includes a travel ban. Thus, on 18 March 2022, ASIC鈥檚 deputy general secretary, Mr Alejandro S谩nchez Zald铆var, was refused a passport and notified of a ban on travel outside the country. This action is due to the fact that Alejandro visited the ILO headquarters for the 107th Session of the International Labour Conference, where he denounced the anti-union practices of the Cuban regime. Since then, he has been banned from leaving the national territory, making it impossible for him to attend international events, including seminars, trade union congresses and events held in support of Cuban workers (communication dated 18 March 2022).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","260.Lastly, the complainant alleges that the authorities continue to use the new repressive weapon of cutting off communications. Thus, on 22 September 2022, trade union and civil society organizations from several countries in the Americas met in the city of San Jos茅, Costa Rica, for the regional forum on solidarity with Cuban workers. The virtual participation of ASIC leaders was planned. However, the internet connections were individually and selectively cut off to prevent their participation (communications dated 29 and 30 September 2022).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
Case No 3271 (Cuba),21-Dec-16,Associaci贸n Sindical Independendiente de Cuba (ASIC),"['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4141424', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4081842', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4017622', 'f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:3950237']","261.As regards recommendation (a) of the Committee鈥檚 last report (recognition and free operation of ASIC), the Government once again states, in its communication dated 24 October 2022, that: (i) the members of the organization that calls itself ASIC are neither workers nor employers; they do not belong to any labour collective and therefore have not been elected or appointed by the members as trade union representatives; they do not have the objective of promoting or defending workers鈥?interests, nor do they have the genuine support of the membership or any labour collective; and (ii) its supposed members answer to a foreign government, which provides them with funds in the political aim of subverting the internal order legitimately established by the Cuban people. The complainants operate under the agendas of the International Group for Corporate Social Responsibility in Cuba and the American organization National Endowment for Democracy to engage in internal subversion that constitutes an affront to the purposes and principles of the Charter of the United Nations and international law, particularly the principles of sovereignty, self-determination and non-interference in internal affairs.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4364382, response status: 200"
