case,document_nr,document_name,document_href,text,log
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"598.The complaint is contained in a communication from the National              Federation of Secondary School Teachers (FENAPES) and Education International (EI) dated              10 November 2021. The Inter-Union Assembly of Workersâ€“Workersâ€?National Convention              (PITâ€“CNT) sent a communication in November 2021 stating its support for the complaint.              FENAPES sent additional information in communications dated 9 February, 6 April, 5 May              and 21 September","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],2022,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"599.The Government sent its observations in communications dated 21 May,              16 August and 15Â December 2022, as well as 26 April 2023.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"600.Uruguay has ratified the Freedom of Association and Protection of              the Right to Organise Convention, 1948 (No. 87), the Right to Organise and Collective              Bargaining Convention, 1949 (No. 98), the Labour Relations (Public Service) Convention,              1978 (No. 151), and the Collective Bargaining Convention, 1981 (No. 154).","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"601.In their communications dated 10 November 2021, 9 February, 6 April,              5 May and 21Â September 2022, the complainant organizations allege that as from 2020,              following the change of government, the new education authorities began to limit various              forms of trade union action. The complainants allege specifically that the              Directorate-General for Secondary Education (DGES), a decentralized body of the National              Public Education","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"Administration (ANEP), has through various decisions and actions              violated freedom of association in a number of secondary education establishments              (liceos â€?high schools) in the country, to the detriment of the FENAPES, the most              representative trade union in public secondary education, and its activists.","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"602.The complainants allege that this anti-union policy has been              manifested through the implementation of repressive disciplinary procedures with regard              to the performance of union activities, namely: (i) anti-union repression with threats              of dismissal against teachers at High School No. 1 in the department of San JosÃ© on              account of union activities; (ii) an investigation into the participation of FENAPES              leaders in an activity","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],with teachers from the high school in Canelones; (iii) an              investigation into the use of the union noticeboard by teachers at High School No. 16 in              Montevideo; (iv) anti-union acts aimed at limiting and suppressing the use of trade              union leave; and (v) disregard for collective bargaining and interference by the DGES              authorities in relation to the Association of Secondary Education Non-Teaching Staff              (ATES).,"Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"603.The complainants indicate that on 27 October 2019 a plebiscite on              constitutional reform with respect to the subject of security in Uruguay was held at the              same time as presidential elections. They indicate that, together with other              organizations, including the PITâ€“CNT, they carried out various actions to contribute to              the campaign against this constitutional reform, which was instigated by certain              political sectors and in the","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
Case No 3420 (Uruguay),9-Feb-22,National Federation of Secondary School Teachers (FENAPES),['f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166'],"end was not approved. The complainants indicate that the              proposal for reform gave rise to intense public debate because it included aspects of              major social interest, including the forming of a national guard trained by the              military, the possibility of establishing reviewable penalties of permanent              imprisonment, and the demarcation of alternative measures to prison. They also indicate              that the debate on reform included various","Scraping https://www.ilo.org/dyn/normlex/en/f?p=1000:50032:0::NO:50032:P50032_COMPLAINT_TEXT_ID:4345166, response status: 200"
