,Document,Topic,Time,Country
0,".The complaint is included in communications provided by the Workers' Union of the Campinas Municipal Services and National Confederation of Public Municipal Employees (CSPM), dated  April and  July .
.The Government sent its observations in a communication dated  August .
.Brazil has not ratified the Freedom of Association and Protection of the Freedom of Association and Protection of the Right to Organise Convention,  (No. ), but it has ratified the Right to Organise and Collective Bargaining Convention,  (No. ), the Labour Relations (Public Service) Convention,  (No. ), and the Collective Bargaining Convention,  (No. ).
.In its communications dated  April and  July , the complainant organizations indicate that the President of the Republic approved, on  March , Provisional Measure (PM) No. /, amending the Consolidation of Labour Laws (CLT) and directly impacting the unions' funding model. The complainant organizations indicate that the PM drastically changes the way in which union contributions are raised, making it impossible to deduct trade union dues at source for workers, and allege that this has a significant impact on the organization and performance of the unions. The complainant organizations indicate that the PM amends sections , , , A and  of the CLT and allege that the main changes that will negatively affect the unions are the following:the measure makes it impossible to directly deduct union contributions or dues at source for workers, determining that the collection of union dues will be made exclusively by means of a deposit slip or electronic equivalent, which the union must send to the employee at home or, where this is not possible, to the enterprise s headquarters. The complainant organizations allege that the fact that direct deduction cannot be made from the worker s wage will have a drastic effect on the system for collecting union dues, which will become more bureaucratic and significantly more onerous, since it will be necessary to issue receipts through the banking system, which represents a financial and time-consuming cost for the trade union organizations that may even exceed the income from the funds raised; andthe measure requires the prior, individual, express and written authorization of the worker for the collection of trade union contributions, determining that any clause to the contrary is null and void, even if authorized by collective bargaining.
.The complainant organizations allege that the new requirements imposed by the PM will make the collection of trade union contributions extremely difficult and will therefore directly affect trade unions in the very sensitive areas of their financial management and income generation, thus compromising their sustainability. They consider that the restriction proposed by the PM not only affects the freedom and collective autonomy of trade unions, but also directly affects the autonomy and power of individual self-determination of the worker, who is prevented from having the contribution he or she chose to make deducted from source. They also allege that the PM was issued without prior consultation with workers' and employers' representatives and that its content not only implies an anti-union position, but also constitutes an anti-democratic practice that restricts the collective rights and freedoms of trade unions, as well as the individual rights and freedoms of workers.
.The complainant organizations indicate that in November , Act No. . (labour reform) was approved, amending several provisions of the CLT and incorporating new provisions into the legal text. The amended provisions include the above-mentioned sections  and . The complainant organizations indicate that prior to the labour reform, these sections provided that union contributions were mandatory and that, since the reform, union contributions have become optional and dependent on the worker s authorization.
.The complainant organizations indicate that, although several unions throughout the country filed actions with the national courts and succeeded in suspending the effects of the PM, maintaining the possibility of deducting union dues at source for their members, most of the hearings have not reached the second instance and there is, therefore, no uniform jurisprudential interpretation concerning this issue. Lastly, the complainant organizations indicate that the provisional measures, such as the one in question, are issued as a matter of urgency and are discontinued if the text is not approved by National Congress within a period of  days, which may be extended. They indicate that the PM in question ceased to have effect on  June  owing to the absence of legal regulation by the Congress, which is why it is no longer in force in the national legal system. The complainant organizations emphasize, however, that the discussion on the prohibition of deducting union contributions at source is ongoing at the national level.
.In its communication dated  August , the Government sent its observations and indicated that, above all, the relevance and urgency of the adoption of the PM must be understood. The Government recalls that on  July , Act No. . was adopted and indicates that, prior to the entry into force of this Act, union dues were mandatory by law. However, since it has been in force, union dues, formerly known as union taxes, became optional, depending on the prior and express consent of the worker. The Government explains that, although the logic enshrined in this Act, in terms of the need for the prior and express consent of the worker, was well defined in the provisions related to the union dues, there were still issues to be clarified. This included, for example, whether such consent could be given through a general assembly held in the trade union or in the scope of collective bargaining. The Government indicates that the Executive Branch decided to make this logic even more explicit through the PM in question.
.The Government cites paragraphs  and  of the explanatory statement that accompanies the PM, which indicate that: (i) while Act No. . was in force and the Federal Supreme Court had ruled on the constitutionality of the termination of the mandatory trade union tax, various strategies had been used without respecting the will of the legislator, such as collective bargaining and collective assemblies; and (ii) the prior authorization of the worker to which the Act refers must necessarily be individual, express and written, and the rule or clause establishing the mandatory payment of union dues is null and void, even where it is endorsed by collective bargaining, general assembly or any other means.
.The Government indicates that, according to data provided by the Labour Secretariat of the Ministry of the Economy, , collective instruments containing clauses related to the payment of union dues were deposited in . The Government indicates that workers, both members and non-members of the unions, who had signed these collective agreements were subject to the rules contained in those clauses, even if they had not expressly agreed to any deduction to their remuneration. The Government considers that the countless workers who were to be affected by the deduction of union dues with which they did not agree needed to be protected immediately, and that there was, therefore, an urgent need for a PM to clarify these issues. The Government indicates that the provisions amended by the PM act as an important step in reflecting the will of the Legislative Branch by having approved Act No. ./.
.The Government emphasizes that the collective clauses that establish contributions for a union body, in any capacity, making them mandatory for non-unionized workers, are against the right to freedom of association and to organize, guaranteed by the Constitution and, therefore, are null and void, as the contributions may be refunded, by the unions' own means, potentially deducting the respective amounts. The Government considers that the discussion on the compatibility of the Constitution with the imposition of a mandatory contribution, through a collective contract or agreement, on workers who are not members of the respective union, is undeniably important from a legal, economic and social perspective, since it potentially raises the issue for all employees who are not members of unions, and also has an impact on the organization of the Brazilian trade union system and its funding modalities.
.The Government mentions that the Federal Supreme Court itself, in binding ruling No. , concluded that  the contribution referred to in article , paragraph IV, of the Federal Constitution, is applicable only to members of the respective trade union'  and that the Court determined that the establishment, by accord, collective agreement or standard, of mandatory contributions imposed on non-unionized workers is unconstitutional. The Court considers that the clause contained in an accord, collective agreement or standard establishing a contribution of any kind, to a union body, is a contravention of the freedom protected by the Constitution if non-unionized workers are required to pay it.
.The Government considers it necessary to distinguish between the trade union contribution provided for in the Constitution (article , final part of paragraph IV) and established by law (section  of the CLT) for professional categories and constituting a tax, with a mandatory logo, from the so-called assistance contribution, also known as the assistance fee. It",-1,2019,Brazil
1,"indicates that the aim of the latter is to fund the union s assistance activities, mainly in the course of collective bargaining, and does not constitute a tax. It also emphasizes that the bank receipt or electronic equivalent is a logical consequence as it serves to defend those who do not wish to contribute financially to trade union bodies and is therefore a measure that may safeguard the principle of freedom of association enshrined in article , paragraph V, of the Federal Constitution of , which provides that no one is obliged to join or remain a member of a trade union.
.The Government considers that the provisions presented in the PM only provide greater legal certainty to social actors, especially by emphasizing the need to comply with the principle of freedom of association, without neglecting the necessary interplay with the content of Act No. ./. The Government indicates, however, that the PM ceased to be in force as of  June  because the term expired without it having been reviewed in the Legislative Branch.
.The Committee notes that the present case concerns PM No. , approved by the President of the Republic on  March , amending several sections of the CLT and providing that: (i) trade union contributions or fees cannot be deducted at source (the trade union must send a deposit slip to the worker who must pay the contribution at a bank); and (ii) the prior, individual, express and written authorization of the worker for the collection of the trade union dues and any clause setting out otherwise shall be null and void, even if a collective bargaining agreement exists.
.The Committee notes that the complainant organizations allege that: (i) the PM, issued without prior consultation with workers' and employers' representatives, will make the collection of union dues extremely difficult and will have an impact on the unions' income generation, thus compromising their sustainability; and ( ii) although several unions filed actions and succeeded in suspending the effects of the PM, maintaining the possibility of deducting union dues at source for their members, most of the hearings have not reached the second instance.
.The Committee notes that in this respect the Government indicates that: (i) since the reform introduced by Act No. ./, trade union contributions ceased to be mandatory and became optional; (ii) although the above Act refers to the need for the prior and express consent of the worker, questions remained to be clarified, such as whether such consent could be given through a general assembly held in the trade union or in the scope of collective bargaining; (iii) the Executive Branch decided to make this logic more explicit through the PM; (iv) , collective instruments containing clauses related to the payment of union dues were deposited in  and workers were subject to the rules contained therein, even if they had not expressly agreed to any deduction to their remuneration, and there was an urgent need for a PM to clarify these issues; and (v) the bank receipt or electronic equivalent is a logical consequence as it serves to defend those who do not wish to contribute financially to trade unions.
.The Committee, while recalling that the withdrawal of the check-off facility, which could lead to financial difficulties for trade union organizations, is not conducive to the development of harmonious industrial relations and should therefore be avoided and that the issue of the deduction of trade union dues by employers and their transfer to trade unions is a matter which should be dealt with through collective bargaining between employers and all trade unions without legislative obstruction, [see Compilation of decisions and principles of the Freedom of Association Committee, sixth edition, , paragraphs  and ], takes due note that, as indicated by the complainant organizations and the Government, the PM ceased to be in force as of  June  and therefore invites the Governing Body to decide that this case is closed and does not call for further examination.
.In the light of its foregoing conclusions, the Committee invites the Governing Body to decide that this case does not call for further examination.",-1,2019,Brazil
2,".The complaint is contained in the communication dated  December  from Public Services International (PSI), the Single Confederation of Workers (CUT), the New Trade Union Confederation of Workers (NCST), the General Union of Workers (UGT), the Confederation of Brazilian Trade Unions (CSB), the Confederation of Workers of Brazil (CTB), Fora Sindical (FS), the People s Trade Union Confederation (CONLUTAS), Intersindical, the Confederation of Public Servants of Brazil (CSPB), the Confederation of Federal Public Service Workers (CONDSEF), the Confederation of Municipal Public Service Workers (CONFETAM/CUT), the National Confederation of CUT Social Security Workers (CNTSS/CUT), the National Federation of State Judiciary Workers (FENAJUD), the Trade Union Federation of Brazilian University Workers (FASUBRA), the National Federation of Urban Service Workers (FNU), and the Trade Union of Employees in Science, Technology, Production and Innovation in Public Health (ASFOC-SN).
.The Government sent its observations in a communication dated  August .
.Brazil has not ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ), but it has ratified the Right to Organise and Collective Bargaining Convention,  (No. ), the Labour Relations (Public Service) Convention,  (No. ), and the Collective Bargaining Convention,  (No. ).
.In their communication dated  December , the complainants report non-compliance with the obligations arising from Convention No. , in particular with regard to the lack of legislation to promote and regulate collective bargaining in the public sector, as well as legislation establishing adequate protections against anti-union discrimination. Specifically, the complainants allege that the President of the Republic unduly vetoed the Bill (No. /) on collective bargaining in the public sector that had been drawn up in consultation with the social partners.
.The complainants state that: (i) although it has ratified Convention No. , the State is not fully implementing it, arguing that this would require a law governing collective bargaining for public servants; (ii) collective bargaining in the public sector faces many obstacles, such as the need for authorization from a higher authority and the limitations of the Fiscal Responsibility Act; (iii) as a result, the authorities tend to impose working conditions unilaterally; (iv) without recourse to collective bargaining, the trade unions use strikes to put pressure on the authorities, which run on indefinitely (the complainants note that in the first half of ,  of the  strikes that took place were in the public sector, and they also regret that the Federal Supreme Court decided that the administration should discount strike days from salaries ' even though the Constitutional Court had maintained the possibility for the parties to negotiate compensation for the days of stoppage); (v) there are very few existing examples of collective bargaining and, although this supports the argument that the promotion of collective bargaining does not rely on legislative developments, their existence and effectiveness vary depending on who is in Government; (vi) the establishment of the Permanent National Negotiating Table in  is illustrative of this ' the complainants regret that, in addition to its structural and bureaucratic limitations, it is emptied out every time the country experiences a political change, its results are limited and irregular, and the agreements are not always complied with, which triggers more strikes; and (vii) more recently, there has been a tendency to restrict freedom of association in the public sector, as demonstrated by the limitation of collective bargaining that culminated in the veto of the Bill (No. /) intended to regulate the exercise of collective bargaining in that sector.
.In that regard, the complainants note that: (i) seven years after the ratification of Convention No. , the National Congress finally passed a Bill regulating collective bargaining in the public sector (Bill No. /), which was transmitted for the approval of the President of the Republic on  November ; (ii) since , when the Bill was presented to the Senate, several public audiences have been held, with broad participation from trade union confederations, federations, trade unions and associations of public sector workers; (iii) considering the high level of legislative and social coordination around the text, it was expected to be approved in its entirety, nonetheless, on  December , the President of the Republic vetoed it entirely, and the veto was upheld by the Chamber of Deputies on  April , which meant that the Bill was definitively shelved; and (iv) the sophistry contained in the presidential veto lacks any legal basis (although the veto argued that there was a lack of legislative jurisdiction, it is not true to say that the Bill, which covered general procedural standards, encroached upon the jurisdiction of the states; neither did the Bill concern matters reserved for the legislative initiative of the President of the Republic, as the veto also argued).
.In a communication dated  August , the Government sent its reply to the allegations made by the complainants. The Government states that: (a) although the Federal Constitution guarantees freedom of association for public servants, the trade union rights of those public servants still lack specific legislation, in particular with regard to collective bargaining in the public sector; (b) on the other hand, in spite of not having specific legislation, negotiations do take place in the sector and there are various examples of this ' the creation of the Permanent National Negotiating Table, the main goal of which was to be a permanent negotiating system within the federal system; the Permanent Negotiating System for Efficiency in the Provision of Municipal Public Services in So Paulo (SINP); and the Permanent National Negotiating Table for the Single Health System (MNNP-SUS), as a forum of equals and of negotiating procedures to deal with conflicts and requests emanating from the Single Health System; (c) every legislative proposal must respect all the procedures set out in the legal system and, with regard to Bill No. /, on the understanding that the necessary formal procedures had not been followed, the President of the Republic at the time considered it appropriate to veto the Bill; (d) nonetheless, Brazil continues to believe that the regulations of Convention No.  are of great importance to the country and, therefore, the Federal Senate is considering a new proposal on the matter ' a new Bill (Bill No. /), the main scope of which is the establishment of general standards for collective bargaining in public service; and (e) it is worth highlighting that the new Ministry of the Economy has created a specific department to propose policies, standards and procedures relating to labour relations in the federal public service, since its jurisdiction includes the need to promote the administration s participation in dialogue with bodies representing the interests of public servants and to propose measures to resolve conflicts that arise in matters of labour relations during the negotiation of working conditions. In conclusion, the Government affirms the country s interest in establishing standard-setting mechanisms in order to better implement Convention No.  in its internal legal system and notes that, while it is seeking to harmonize its regulatory framework, negotiations will be undertaken by other means, such as the aforementioned tables.
.The Committee notes that the complaint concerns the development of legislative measures to give effect to the provisions of Convention No. , in particular with regard to collective bargaining and protection against anti-union discrimination in the public sector.
.The Committee notes that, although the complainants report a lack of adequate legislation and allege that the President of the Republic unduly vetoed a Bill (No. /) on collective bargaining in the public sector that had been drawn up in consultation with the social partners; on the other hand, the Government notes that the regulations of Convention No.  are of great importance to the country and a new Bill is being considered by the Senate (Bill No. /) with a view to establishing general standards for collective bargaining in public service.
.In these circumstances and emphasizing the importance of social dialogue, the Committee encourages the authorities concerned to continue consulting with the social partners, in the hope that the legislation in question will be adopted very soon. Since Brazil has ratified Conventions Nos.  and , the Committee refers the legislative aspects of the case to the Committee of Experts on the Application of Conventions and Recommendations.
.In light of its foregoing conclusions, the Committee invites the Governing Body to approve the following recommendations:(a)	The Committee encourages the authorities concerned to continue consulting with the social partners, in the hope that the legislation in question will be adopted very soon.(b)	The Committee refers the legislative aspects of the case to the Committee of Experts on the Application of Conventions and Recommendations.",-1,2018,Brazil
3,".The complaint is contained in the communication received on  June  from the Single Confederation of Workers (CUT) and the Single Confederation of Oil Workers (FUP).
.The Government sent its observations in communications dated  April  and  February .
.Brazil has not ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ), but it has ratified the Right to Organise and Collective Bargaining Convention,  (No. ).
.In their communication received on  June , the complainants denounce the imposition of fines for exercising the right to strike that exceed the trade unions' capacity to pay. They allege in particular that:(i)	a day before a strike that was called by a number of trade unions in the petroleum sector for  and  May and  June , on  May , the State (Unio) and the enterprise with public participation, Petrleo Brasileiro, S.A. (henceforth, the oil company) filed an action for annulment of the strike, alleging its abusive nature and its political and ideological motivation; and requested that the work of all workers in the oil company and its subsidiaries be ensured, failing which a fine of ,, Brazilian reals (approximately US$,) would be imposed, and that the trade unions refrain from preventing the free movement of goods and persons (or face a fine of same amount);(ii)	the competent judge of the Supreme Labour Court issued a decision on the same day,  May , ordering the trade unions to refrain from holding the strike or be fined , reals (approximately US$,) per day as it deemed the strike to be of an apparently abusive nature. The judge based the decision on the following grounds: the strike was of a political nature; such strikes had no basis in the prevailing jurisprudence of the collective disputes department of the Supreme Labour Court; a collective labour agreement signed between the social actors was in force until ; and, in the judge s view, the strike bordered on opportunism, was organized to cause disturbance and was void of all sensitivity as it would cause potentially serious damage to the population;(iii)	the judge was mistaken in considering the strike was of a merely political nature and that, beyond the issue of the nature of the strike, holding a strike to express discontent regarding certain regulations affecting the workers' rights is legal. The decision to call the strike had five objectives: () reduction of fuel and cooking gas prices; () preservation of jobs, and resumption of domestic fuel production; () cessation of the importation of petrol and other oil derivatives; () action against privatization and the dismantling of the employer system; and () resignation of the Chairperson of the company. While the court decision cited these objectives, it failed to conclude, in its interpretation, that the strike sought to preserve the jobs and the public company. The movement was driven by both trade unionists as well as workers, citizens and consumers, which did not undermine the legitimacy of the strike. The planned action cannot be considered a purely political strike, disconnected from the world of work and the productive sector concerned;(iv)	having carried out the strike on  May , the same Supreme Labour Court judge, highlighting the alleged incompliance with the prior court order, quadrupled the amount of the daily fine initially set, which rose to ,, reals (approximately US$,). The complainants allege that this court decision prevented the effective exercise of the right to strike; and(v)	while fuel and gas production and distribution services are mentioned in article () of Act No. /, they are not subject to an absolute restriction on striking. Rather, in these sectors, the right to strike is guaranteed insofar as trade unions, employers and workers ensure, through common agreement during the strike, the provision of essential services to meet the basic needs of the community. In the strike in question, the workers' organizations had given these guarantees.
.The complainants refer to Case No. , which the Committee had previously examined, concerning excessive sanctions for exercising the right to strike in the same oil company. In this case, the Committee considered that the sanctions must be proportionate to the seriousness of the infringement committed and must in no case compromise the continuation of the activities of the parties thus sanctioned, and highlighted that strikes should not be subject to fines. Warning of the intimidating and inhibitive effect of the amount of the fines (US$, per day of strike), the Committee considered, in that case, that the imposition of fines for exercising the right to strike was not consistent with the principles of freedom of association and requested the Government to take measures to ensure that the fines were annulled.
.To conclude, the complainants consider that in the present case the judicial authorities imposed fines that were both inappropriate and excessive with respect to the legal exercise of the right to strike which, as they exceeded the trade unions' financial capacity, compromised their survival.
.In a communication of  April , the Government sent its reply to the complainants' allegations through a legal brief from the Office of the Attorney General of the Union, which relays the court decision issued on  may  ordering the organizations concerned to refrain from carrying out the strike. The court ruling:(i)	verified, based on the information submitted, that the strike had five objectives: () reduction of fuel and cooking gas prices; () preservation of jobs, and resumption of domestic fuel production; () cessation of the importation of petrol and other oil derivatives; () action against privatization and the dismantling of the employer system; and () resignation of the Chairperson of the company;(ii)	considered, in view of the abovementioned, that the strike was of a political nature, and that void of all sensitivity, it was carried out to cause disturbance; the strike had an essentially political agenda and a strong interference not only in the management of Petrobras, but also in its own public policy actions, which affected the whole country and which couldn t be resolved under pressure of a professional category;(iii)	highlighted that the claims did not refer to the working conditions of the company s employees and that a collective bargaining agreement entered into with the social partners was still in force until . In this regard, it stressed that the employer, though it suffered the effects of the stoppage, was unable to resolve such claims, which concerned the public authorities;(iv)	also observed that the strike was planned at a time when the country was emerging from a truckers' strike which had caused serious economic damage in the country and considered that the damage was potentially serious as it may have prolonged the harmful effects caused by the truckers' strike;(v)	considered, in this sense that: the announced strike revealed a strong and combative sector and that.. an eventual strike in the oil sector would entail a potentially serious harm for the Brazilian population, as it would imply a continuation of the damages caused by the truckers' strike;he strike bordered opportunism and its outbreak was not proportionate to the aims that, in theory, could be achieved with the pursued agenda and the sacrifice of society; and(vi)	in light of the apparently abusive nature of the strike and the serious damage that it could entail, ordered the trade unions to refrain from holding the strike and blocking the free movement of goods and persons, or be fined , reals (approximately US$,).
.Having transcribed the aforementioned court ruling, the Attorney General s Office highlights that:(i)	the complaint challenges a court ruling issued independently and in conformity with the guarantee of an impartial judge, so that the complainant s allegations question the sovereignty of judicial decisions;(ii)	the complainants sought to undermine the judiciary by not respecting the decision taken; furthermore, the complainants filed appeals which are still pending and thus the complaint before the ILO is aimed at limiting the independence of the national jurisdiction;(iii)	the right to strike is not absolute and its reasonableness and proportionality must be evaluated with regard to the impact of the strike on other rights and interests;(iv)	the proposed strike was intransigent and insensitive, and did not seek to defend the occupational or economic interests of the oil sector workers. In light of the five objectives quoted, it is clear that the objective was rather to sow chaos in the country and destabilize the entire political, economic and judicial system, as well as to upset citizens' safety and well-being;(v)	the organizations did not fulfil the requirements established under Act No. /, including prior collective bargaining (a collective agreement had been in force until August ), public notice of an assembly, or description of how essential services would be provided;(vi)	a dispute between professionals and employers must not completely undermine the interests of society and, following the principles of reasonableness and proportionality, the effective impact of the exercise of the strike on other fundamental rights and interests must be assessed;(vii) in another court decision concerning a truckers' strike which was also considered abusive (the strike consisted of driving at reduced speed and occupying several",-1,2018,Brazil
4,"lanes to slow down traffic), The Federal Supreme Court recalled that the compatibility between fundamental rights must be examined in the light of criteria of reasonableness and proportionality. The Court considered that in the case of the truckers' strike there was abuse, as it found that the strike had a disproportionate and intolerable effect on the rest of society, causing the interruption of fuel and inputs to provide essential public services; and(viii)	by quoting in their complaint one paragraph of the Compilation of decisions of the Committee on Freedom of Association, which indicates that the oil sector does not constitute an essential service in the strict sense of the term, the CUT and FUT, seek to question, with the possible aim of modifying or repealing it, Article () of Act No. /, which establishes that services in the oil sector are essential services, without due compliance with the legal process or without any ruling of unconstitutionality on the above-mentioned provision by the judiciary.
.In a communication dated  February , in addition to reiterating the elements contained in its previous communication, the Government refers to the social context in which the public authorities decided to file a legal action to prevent the start of the strike in the present case. The Government states that on  May , a truck drivers' strike was declared and that it lasted  days. The truck drivers blocked roads and prevented the circulation of even essential goods. Services such as fuel supply and distribution of food and medical supplies were paralysed. The main demand of the truckers was a reduction in the price of diesel, which was met by the Federal Government. In view of this scenario of social commotion and insofar as the company is the main producer and distributor of fuel in the country, the Federal Government resorted to the courts to prevent further substantial damage to society and the country. The Government states that the above reasons show that the legal action initiated to prevent the strike in the oil sector was not hasty but was intended to prevent this second strike from leading the country into chaos.
.The Government also refers to the consideration of the right to strike by the Brazilian legal system. The Government indicates in this respect that: (i) article  of the Federal Constitution recognizes the right to strike as a fundamental right; (ii) at the same time, the Constitution itself (article .) recognizes that the right to strike is not absolute and that it must coexist with the other fundamental rights, that the perpetrators of abuses committed during strikes must be punished in accordance with the law and that it is up to the legislator to define the essential activities that are indispensable to the community and in respect of which the exercise of the right to strike is conditioned; (iii) based on these constitutional principles, Law No. / regulates the exercise of the right to strike; (iv) this law defines in particular the essential activities for the community that must be attended even in case of strike, conditioning but not prohibiting the strike in the sectors concerned; (v) the law establishes some requirements for the validity of the strike movement, such as: the existence of a real attempt to negotiate, before the strike takes place, the approval by the respective assembly of workers, the prior notice to the employer, which in essential activities must occur within  hours of the strike; and (vi) the above-mentioned law defines the existence of an abuse of the right to strike when its rules are not complied with or when the strike is maintained after the conclusion of an agreement or after a decision of the labour justice system. The Government states that in the present case: (i) the union did not comply with the formal requirements contained in the law (existence of collective bargaining, meeting of a union assembly and strike notice); (ii) the union could not call a strike as there was a collective agreement in force for the category until  August  and the claims had no relation whatsoever with the clauses of the agreement in force; and (iii) the Federal Government s legal action sought to avoid possible damage to the population which had already been suffering for more than a week with the interruption of essential services resulting from the truck drivers' strike.
.The Committee notes that in the complaint the complainants denounce that, after having called a three-day strike that fulfilled the legal requirements, at the request of the State and the oil company, a court decision was issued that prohibited the strike and prevented it by imposing fines that exceeded the trade unions' capacity to pay and compromised their survival. On the other hand, the Committee observes that the Government, after describing the social context in which the strike in question was initiated and recalling the constitutional and legal guidelines governing the right to strike, states that the strike was of a political nature and was held to cause disturbance, that it did not fulfil the legal requirements, that a collective agreement was in force and that the formal conditions for declaring a strike had not been respected. The Committee notes that the Government also states that the strike: (i) entailed the risk of significant damage, particularly since a truckers' strike had recently taken place; and (ii) taking into consideration that the company is the main fuel producer and distributor in the country, the Federal Government s action sought to avoid throwing the country into chaos after more than a week of interruption of essential services due to the truckers' strike.
.In this regard, the Committee notes, that: (i), through a court decision of an independent judicial body, it was found that the strike was political and abusive, and the trade unions were ordered to refrain from carrying out the strike or be fined; and (ii), as they did not comply with the court decision, the same court imposed in the first instance a higher fine of ,, reals per day of strike (approximately US$,). While noting divergences between the parties as to whether minimum services had been established, the Committee notes that the judicial body ordered the organizations concerned to refrain from paralysing activities in light of its qualification of the strike as political, without considering the issue of minimum services. The Committee also notes that in its considerations, the judicial decision alluded not only to the political nature of the strike, but also to the potentially serious harm that its exercise could entail for the population, in particular because it could imply a continuation of the damage caused by a previous truckers' strike and that its scope was not proportionate to the aims it pursued and to the sacrifice of the society in order to achieve those aims.
.The Committee also notes that, following an appeal filed by the trade union organizations against the aforementioned judicial decision of first instance, the Supreme Labour Court, in a decision issued on  December : (i) confirmed the first-instance decision considering the strike abusive because it was eminently political in nature and that it had ostensibly disregarded the initial judicial determination to abstain from the strike; and (ii) it reduced the fine from ,, reals to an amount of , reals for each trade union organization, observing that the strike had lasted one and a half days of the three initially planned and taking into account the financial capacities of the trade unions.
.On the nature of the strike, the Committee notes that, as it was alleged by both parties, the strike had five objectives: () reduction of fuel and cooking gas prices; () preservation of jobs, and resumption of domestic fuel production; () cessation of the importation of petrol and other oil derivatives; () action against privatization and the dismantling of the employer system; and () resignation of the Chairperson of the company.
.The Committee notes in this regard that: (i) national legislation (Law , of ) establishes the conditions for the exercise of the right to strike and in particular provides that the labour courts shall decide on the total or partial admissibility or inadmissibility of the claims (article ); (ii) the legislation provides that the production and distribution of fuels is an essential service, conditioning the exercise of the right to strike in said sector to the obligation that trade unions, employers and workers guarantee, by mutual agreement, the provision of essential services to meet the unavoidable needs of the communities (articles ,  and ); (iii) the legislation provides that unavoidable needs are those that, if not met, would endanger the survival, health or safety of the population (sole paragraph of article ); (iv) the legislation establishes that the exercise of the right to strike is abusive if the law is not observed when the stoppage continues after the conclusion of an agreement, collective agreement or judicial decision on labor (article ); and (v) in the present case, both in the first and second instance,",-1,2018,Brazil
5,"the national courts have determined that the strike at issue was eminently political in nature and consequently considered it abusive.
.In this regard, the Committee recalls that while it has considered that to determine situations in which a strike could be prohibited, the criterion which has to be established is the existence of a clear and imminent threat to the life, personal safety or health of the whole or part of the population, [see Compilation of decisions of the Committee on Freedom of Association, sixth edition, , para. ], it has also considered that what is meant by essential services in the strict sense of the term depends to a large extent on the particular circumstances prevailing in a country. Moreover, this concept is not absolute, in the sense that a non-essential service may become essential if a strike lasts beyond a certain time or extends beyond a certain scope, thus endangering the life, personal safety or health of the whole or part of the population [see Compilation para. ].
.While observing that the Brazilian legislation provides for guarantees for the exercise of a strike and measures to resolve disputes through an independent judicial body and that the right to strike is not absolute, can be restricted in essential services in the strict sense of the term, including to meet the unavoidable needs of the communities, the Committee also recalls that the occupational and economic interests which workers defend through the exercise of the right to strike do not only concern better working conditions or collective claims of an occupational nature, but also the seeking of solutions to economic and social policy questions and problems facing the undertaking which are of direct concern to the workers. In addition, the Committee recalls that the right to strike should not be limited solely to industrial disputes that are likely to be resolved through the signing of a collective agreement; workers and their organizations should be able to express in a broader context, if necessary, their dissatisfaction as regards economic and social matters affecting their members interests [see Compilation, paras  and ].
.In view of the above, the Committee considers that in addition to judicial decisions on this matter, the situation should be examined in light of the circumstances of time, manner and place, in order to assess the reasons put forward. The Committee recalls that while purely political strikes do not fall within the scope of the principles of freedom of association, trade unions should be able to have recourse to protest strikes, in particular where aimed at criticizing a government s economic and social policies [see Compilation, para. ]. At the same time, the Committee recalls that it does not have the authority to interpret the scope of national legislation, which falls to the national competent authorities and ultimately the courts [see Compilation, para. ].
.With regard to the sanctions denounced by the complainants, the Committee notes that in the case under examination, they were linked to the non-compliance with a judicial decision ordering to refrain from strike action which if not implemented would result in a daily fine and that the trade unions concerned, which could resort to an appeal body to enforce their claims, were responsible for complying with the decision issued by independent judicial bodies. The Committee observes, on the other hand, that the complainants denounce the inappropriate and excessive character of the fines issued, which, exceeding the trade unions' financial capacity, compromised their survival.
.In this regard, the Committee recalls that, in the past, it examined the issue of the imposition of excessive fines for an allegedly abusive strike in the same petroleum company, where the Committee had recalled that the imposition of sanctions, including fines, on the social partners in the case of infringement of labour legislation is not in itself a matter of objection; however, such sanctions must be proportionate to the seriousness of the infringement committed and must in no case compromise the continuation of the activities of the parties thus sanctioned [see the th Report, Case No.  of March , paras ' ].
.While noting that the fines initially issued (approximately US$, per day of strike in the decision prior to the initiation of the strike and US$, in the decision of first instance following the initiation of the strike) were very high and likely to have a disproportionate impact on the life of the unions concerned, the Committee notes that, in the second instance, the Supreme Labor Court significantly reduced the amount of the fines imposed and the final amount (of approximately US$, for each trade union) was based on the short duration of the strike and the financial capacity of the unions. Observing that the legislation may establish the parameters in this matter, and in light of the points previously mentioned, the Committee invites the Government to submit the issue of fines imposed for the abusive exercise of the right to strike for tripartite dialogue with the most representative organizations.
.In the light of its foregoing conclusions, which do not call for further examination, the Committee invites the Governing Body to approve the following recommendation:Observing that the legislation may establish the parameters in this matter, and in light of the points highlighted in the foregoing conclusions, the Committee invites the Government to submit the issue of fines imposed for the abusive exercise of the right to strike for tripartite dialogue with the most representative organizations.",-1,2018,Brazil
