,Document,Topic,Time,Country
0,".The complaint is contained in communications dated February  (received  March ) and  February  from the Lan Express Cabin Crew Union ' LATAM Chile (STCLE), supported by the International Transport Workers' Federation (ITF) and the Single Central Organization of Workers of Chile (CUT).
.The Government sent its observations in communications dated  March and  August .
.Chile has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ) and the Right to Organise and Collective Bargaining Convention,  (No. ).
.The complainant alleges that, in a collective bargaining process, Transporte Areo SA or Lan Express (hereinafter the enterprise) was guilty of anti-union discrimination by rejecting as illegal the complainant s decision to end a strike and to accept the enterprise s final offer.
.The complainant states that: (i) on  February , the STCLE launched a collective bargaining process, with the enterprise giving its response on  February ; (ii) a legal dispute arose over a clause in the contract ' which the enterprise wanted to remove ' establishing that any worker who joins the union will become a beneficiary of the collective instrument, a dispute in which the Labour Directorate and the courts ruled in favour of the union; (iii) round table negotiations began, which were unsuccessful and, after the deadlines had passed, the enterprise made its final offer on  March  (an offer that was neither withdrawn nor revoked by the enterprise); (iv) after unsuccessful mediation by the labour inspectorate, the strike began on  April ; (v) at that stage the enterprise made a new offer, which was not accepted by the union s assembly; (vi) on  April , the enterprise began a campaign to encourage the striking workers to halt their action, with the aim of breaking up the union and excluding them from the bargaining process; (vii) against this background, the enterprise refused to meet with the union s negotiating committee and only undertook to promote the individual reinstatement of workers; (viii) given the time that had elapsed and the intransigence of the enterprise, the STCLE s assembly decided to accept the enterprise s final offer and end the strike ' the enterprise and the labour inspectorate were informed of this on  April ; (ix) on  April the enterprise issued a statement indicating that  unfortunately the way in which the union reportedly ended the strike does not comply with current legislation, which is why the enterprise is consulting with the Labour Directorate to obtain a ruling on the legality of the union s actions' and specifying that, in the meantime, the enterprise could not consider the strike to be over; (x) the head of the Labour Directorate, in response to the enterprise s request, summoned the parties on  April and informed the union that the enterprise s submission would be forwarded so that it could give its opinion; (xi) however, without waiting to hear the union s arguments, in the afternoon of the same day official communication No.  was issued on  April , signed by the head of the Labour Directorate s legal department, which stated that, as the union s assembly had rejected the enterprise s final offer, the union had not complied with the requirement to end the strike and consequently its action was illegal and the strike should be considered as still ongoing. This administrative decision underscored that, under the Labour Code, the main legal modalities for ending regulated collective bargaining are the signing of the collective agreement by both parties and the right to each worker s individual reinstatement during the strike under the terms and conditions of the employer s final offer; and (xii) through this action, the administrative authority, in failing to respect due process, interfered in collective bargaining, by ruling that, although the union had decided to end the strike, the strike continued (which, the complainant asserts, was in the enterprise s interest).
.The complainant indicates that the administrative authority s ruling forced the union to bring the case before the courts: (i) proceedings for constitutional protection (amparo) were filed against the Labour Directorate (which was rejected by the Court of Appeal on  July , a decision upheld by the Supreme Court, on a matter of form ' it was considered that the protection should be given by the labour judge); (ii) in this regard, an application was filed for a labour judge to rule on the legality of the decision to end the strike and sign the enterprise s final offer and, on  September , the First Chamber of the Santiago Labour Court rejected the application, carrying out a grammatical analysis of the legislation, considering that there was no express rule authorizing a union to accept the enterprise s final offer once the strike was approved ' this ruling was subject to an appeal for annulment before the Santiago Court of Appeal; and (iii) in these circumstances, the contested administrative act remained in force, meaning that the strike could not be ended (the union instructed the unionized workers to return to work in order to avoid serious financial losses. However, three union leaders have remained on strike, without pay (for nine months as of the date the complaint was filed), with a consequent loss of health coverage due to outstanding payments owed to the private insurance company, as well as problems in carrying out their union activities because the enterprise has made it difficult for them to access their usual workplaces to meet with union members.
.The complainant considers that the enterprise s actions and the contested administrative decision hinder the collective bargaining process and effectively prevent the unions from exercising their right to strike. It considers that these are discriminatory anti-union acts that favour individual bargaining (for a small group of workers because they stopped striking earlier and for whom, in the enterprise s view, the final offer had not expired) over collective bargaining (the enterprise did not allow the union to accept the final offer, nor did it offer the terms and conditions of the offer to the unionized workers who ended the strike later). The complainant therefore considers that the authority s actions in support of the enterprise s position ran counter to the State s obligation to encourage collective bargaining. The complainant requests that its right to oppose the end of the strike be recognized, that the alleged actions be determined as anti-union practices, and that the three union leaders who were forced to remain on strike be reinstated and receive their unpaid wages.
.In a communication dated  March , the Government sent in response the observations of the head of the Labour Directorate, who indicates that: (i) the complaint is related to an application for a declaratory judgment filed by the complainant against the enterprise in order to determine that the end of the strike called by the union on  April  was legal; (ii) the First Chamber of the Santiago Labour Court rejected the application when hearing the case; (iii) however, on  July , the Santiago Court of Appeal annulled the contested ruling and issued a replacement ruling accepting the application; (iv) subsequently, the enterprise filed an appeal for unification of jurisprudence on  July  before the Supreme Court; (v) these proceedings were suspended due to the filing of an application for unconstitutionality of sections  and  of the Labour Code ' an action that was rejected by the Constitutional Court in a ruling dated  March ; and (vi) the suspended proceedings were resumed, and on  April , the Supreme Court issued a ruling declaring the appeal for unification of jurisprudence filed by the enterprise inadmissible. It should also be noted that the Labour Directorate was not a party to the aforementioned legal proceedings.
.The Court of Appeal s ruling, which therefore resolved the matter, ruled in favour of the complainant union and established that: (i) the end of the strike agreed by the union on  April  is legal; and (ii) the employer s final offer was in force at the time it was signed by the complainant union, meaning that it constitutes the collective instrument applicable to the parties between  April  and  March . This means that it is also applicable to the workers who were reinstated individually (stopped striking), given that, as a result, such reinstatement was not in accordance with the law. The Court of Appeal noted that it can only be concluded that, as strike action is a legal remedy available to workers, the sole holder of this right is, in this case, the union. The decision to end the strike and return to work therefore always falls to the union. The Court also concluded that it can be considered that existing legislation (Act No. .) grants unions the exercise of the right to strike and what that entails, including ending a strike under the regulated procedure. The Court also considered in its",0,2019,Chile
1,"opinion that the entire collective bargaining process relies on the contracting parties acting in good faith and that the bedrock of this type of procedure presupposes that its participants avoid any conduct that would hinder their mutual understanding, with a view to a fair and peaceful solution. Against this background, the Court considered that collective autonomy should prevail. Such autonomy was evident in the employer s proposal (final offer), which cannot be deemed to have precluded or lost its validity, given that the workers who decided to return to work individually adhered to its terms and conditions and the workers' negotiating committee expressed their agreement to them in order to end the strike. The Court of Appeal found that concluding the collective process through such agreement was consistent with an interpretation underpinning the collective agreement as an expression of freedom of association and that the concurrence of wills over the final offer was conducive to the resolution of the dispute and reinforced union and collective autonomy.
.By means of a communicatin dated  August , the Governement indicates that the main issue that gave rise to the complaint has been resolved within the framework of the country s institutions and that it has no additional information to add.
.The Committee notes that the complainant alleges that, in a collective bargaining process, the enterprise was guilty of anti-union discrimination by rejecting as illegal the complainant s decision to end a strike and to accept the enterprise s final offer. The complainant claims that the union s right to end the strike should be recognized, and that the three union leaders who remained on strike following the enterprise s rejection should be reinstated and their lost wages paid.
.The Committee notes that, following the filing of the complaint, the courts of law ruled on the case in favour of the complainant union, finding that: (i) the ending of the strike agreed by the union on  April  was legal; and (ii) the employer s final offer was in force at the time it was signed by the complainant union, so that it constitutes the applicable collective instrument.
.The Committee notes that, in ruling on the issue, the deciding court ' the Court of Appeal ' found that, as strike action is a legal remedy available to workers, the sole holder of this right is, in this case, the trade union. The decision to end the strike and return to work therefore always falls to the union. The Committee also notes that the Court of Appeal also found that concluding the collective process through such agreement was consistent with an interpretation underpinning the collective agreement as an expression of freedom of association and that the concurrence of wills over the final offer was conducive to the resolution of the dispute and reinforced union and collective autonomy.
.The Committee takes due note of the of the Court of Appeal s ruling and notes that the right of workers' organizations to organize their activities must include the possibility of deciding to end collective actions that they have initiated.
.Furthermore, the Committee notes that the information provided does not specify whether the three union leaders who remained on strike following the enterprise s decision not to accept the end of the strike by the trade union had been reinstated and whether the wages they had not been paid had been reimbursed. The Committee trusts that this was the case.The Committee s recommendations
.In the light of its foregoing conclusions, the Committee invites the Governing Body to approve the following recommendation:(a) The Committee trusts that the three union leaders who had remained on strike following the enterprise s decision not to accept the end of the strike by the trade union were reinstated and the wages they had not been paid were reimbursed.(b) The Committee considers that this case does not call for further examination and is closed.",2,2019,Chile
2,".The complaint is contained in a communication from the Workers' Trade Union No.  of the El Mercurio S.A. newspaper enterprise dated  May . Subsequently, on  September , the Single Confederation of Trade Unions of Chile (CUT) sent a communication supporting the complaint.
.The Government sent its observations by communications of  October  and  April .
.Chile has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ), and the Right to Organise and Collective Bargaining Convention,  (No. ).
.In their communication of  May , the complainants indicate that on  February  the El Mercurio S.A. newspaper enterprise ( the enterprise' , the largest print media enterprise in the country, notified  workers from the production area that their contracts would be terminated. Of those workers,  were members of Trade Union No. , who represent more than  per cent of the laid-off workers and  per cent of the union s  members. The complainants indicate that the collective agreement in force with the said trade union was due to expire on  May  and that the dismissals were intended to instil fear in the workers and prevent any possible work stoppages during the collective bargaining process.
.The complainants indicate that, although the enterprise relied on article  of the Labour Code (enterprise requirements) to justify the dismissals ' more specifically the decision to outsource the printing of products by contracting a printing works that allegedly provides a service at lower cost and with higher quality ' the printing works is one that was set up recently and has no other clients, and that it is untrue that it has greater efficiency and quality standards. The complainants indicate that the notice letters sent by the enterprise to the workers do not specify the grounds for the decision and that the dismissals are therefore wrongful. The complainants further allege that the dismissals were notified in an intimidating manner, as the security personnel identified the dismissed workers from photographs and prevented them from entering the premises. In addition, they indicate that more than half of the workers lodged complaints on the grounds of anti-union practices and sought to have the dismissals declared null and void.
.Furthermore, the complainants indicate that the legal time limit to present the draft text for the new collective agreement was due to expire on  April , and Trade Union No.  therefore submitted its draft on  April; one hour later, it received an email from the enterprise saying that bargaining was suspended because on  March the enterprise had submitted a request to the Labour Directorate to designate the minimum services and emergency teams in the event of a strike, in accordance with the provisions of Act No.  on the modernization of the labour relations system. The complainants indicate that, under that Act, prior to a collective bargaining process, the parties must determine and designate the minimum services and the corresponding emergency teams; to that end, the employer must make a proposal to the unions, who have a time limit to respond and reach an agreement. A collective bargaining process cannot be started in that period.
.The complainants also indicate that even if the enterprise s obligation under the Labour Code to make a proposal to the union on the minimum services is not indicated explicitly in transitional article  of Act No. , that article provides that the minimum services must be agreed by the enterprise and the trade unions. The complainants indicate that, in the present case, the enterprise requested the designation of the minimum services, arguing that there was no agreement with the union, but that the reason why there was no agreement was that the enterprise had not made any proposal to the union. The complainants also state that the Labour Directorate should not have admitted the enterprise s request, as by so doing, it allowed the enterprise to unilaterally suspend the collective bargaining. They indicate that Trade Union No.  requested the National Labour Director to clarify that the intention of the Act is that the employer should make a proposal to the unions concerning the arrangements for minimum services and that, if it does not do so, the request to designate minimum services must be rejected.
.Moreover, the complainants allege that the enterprise systematically failed to comply with the collective agreement made with Trade Union No. , which was signed on  October  and was in force until  May . They indicate that, despite the repeated letters sent by the union and the various meetings that were held, on  October  the executive board of the union submitted a request for mediation to the National Director of Labour in relation to the non-compliance with the collective agreement and the enterprise declined to attend the meetings and participate in the voluntary mediation.
.In its communications of  October  and  April , the Government sent its observations as well as those of the enterprise. The enterprise indicates that its main line of business is creating newspaper content and that its funding mainly comes from advertising revenue. It indicates that, in recent years, the media industry has been experiencing financial difficulties and that the press specifically has been seriously affected by the diversification of advertising platforms, moving away from traditional newspapers and print magazines to new and multiple channels for displaying advertisements. As from , the enterprise had seen a significant drop in revenue and in that context had adopted a series of measures with a view to reducing costs and maintaining the sustainability of the business. The enterprise indicates that between  and  its revenue dropped by . per cent, despite it having implemented various types of measures, and that in  and , it underwent restructuring which meant that more than  people lost their job.
.The enterprise states that the sustained loss of advertising revenue, in a market characterized by the emergence of new advertising platforms, resulted in the enterprise taking a decision that it had been contemplating for several years: to improve the printing infrastructure, which meant that it had to decide between making a large investment in new equipment or beginning a process of gradually outsourcing the printing. The enterprise indicates that it received advice from a renowned investment bank and that, in view of the lack of other newspaper printing presses in the country except for one belonging to a competitor, it was the investment bank, through one of its subsidiaries, that in  began the process of setting up a printing works. On  December , the enterprise signed a service contract with that printing works, which began to operate two months later. The enterprise indicates that the decision to outsource part of the printing of its products has been positive, as the print quality is higher and it has created cost efficiencies. The enterprise clarifies that it does not own the printing works.
.The enterprise states that the decision to outsource part of its production operations was made on economic grounds and meant that an internal restructuring was necessary, particularly the area of production; as there were no other services or areas available to which the workers affected could be reassigned, it was necessary to downsize the production area. It indicates that, on the same day that the external printing works began operations, on  February , it notified  workers in the production area that they were being laid off. The stated grounds for the layoffs were  Requirements of the undertaking, establishment or service'  pursuant to article  of the Labour Code, and the letters of notice sent to the workers explained thoroughly the economic reasons that had obligated the enterprise to reduce costs and outsource part of the printing of its products and, consequently, to lay off the workers from the production area.
.The enterprise indicates that, in January , before the layoffs had taken place, it had met with Trade Union No.  to discuss matters on which they agree for the new collective agreement and that the president of the union voiced concern that there would be layoffs among his union s members, as he had information about the outsourcing of the newspaper printing. The enterprise indicates that it made a proposal to the union to sign a new collective agreement, which included a fund for the laid-off workers for a period of four months after the signature of the collective agreement. The enterprise indicates that the demands made by the union far exceeded the offer that it had made, and hence the negotiation was unsuccessful.
.The enterprise also indicates that on  February, the day on which the workers were notified of the termination of their contracts, it provided facilities to receive the workers and carry out the related administrative tasks, and met with the executive boards of the trade unions whose members were affected and explained that, with a view to ending the contractual relationship",0,2017,Chile
3,"in a sound manner, it would offer those workers who were in agreement with the contract termination an additional financial incentive over and above what it was legally obligated to offer, advice on social security and a plan for finding a new job. The enterprise indicates that at that meeting, one of the union officials asked whether the incentive was negotiable and, when the enterprise replied that it was prepared to consider alternatives, the trade union said that it would send a proposal that evening, which ultimately did not happen.
.The enterprise indicates that a total of  workers opted to sign settlements and receive the benefits to which they were entitled under the law and the collective agreements in force, as well as the additional incentives; a further  workers included in the documents that they reserved the right to subsequently take legal action. The Government informs the Committee that a decision has already been handed down in some of those proceedings, that in some proceedings a conciliation agreement has been reached, and that in other proceedings either there has not yet been a decision or an action for annulment has been brought which has not yet been resolved. The Government indicates that in all of the court cases brought by the union in which a decision has been handed down, for a total of  workers, the layoffs were found to be lawful and the complaints of infringement of freedom of association were dismissed.
.The Government provided a copy of a number of decisions in which the labour courts noted that the outsourcing process had begun well before the collective bargaining process, that production was being outsourced with a view to increasing competitiveness and that it did not aim to weaken the union, either directly or indirectly, also taking into account the fact that the enterprise has high levels of unionization among all categories of employees. Furthermore, they considered that the decision to lay off the workers mainly from the production area does not appear to be an arbitrary one nor intended to weaken the union directly or indirectly, in that the enterprise was unaware of the union membership of the workers affected ' although it could assume a high level of unionization in the area ' and that it could not be demonstrated that the union members were laid off with the deliberate intent of weakening the union either directly or indirectly in view of an imminent collective bargaining process.
.With regard to the request to designate the minimum services and emergency teams, the enterprise indicates that transitional article  of Act No. , which was published on  September  and has been in force since  April , provides that, as from the publication of the Act, enterprises and trade union organizations may designate the minimum services and emergency teams by common accord, and that where collective bargaining is due to commence within two months of the entry into force of the Act and there is no agreement on the designation of the minimum services and emergency teams, the employer must notify the competent Regional Labour Directorate within a time limit of  days starting from the fourth month following the publication of the Act. The enterprise indicates that the negotiation with the union was due to begin between April and May , and therefore the request to designate minimum services was due to be submitted by  March , on which date the enterprise submitted the request to the Labour Directorate.
.The Government indicates that the right to request the designation of minimum services and emergency teams must be exercised with strict adherence to the principle of good faith prevailing throughout the collective bargaining process, such that it is not possible for the administrative authority to determine whether the exercise of that right constitutes an anti-union practice, because only the courts may characterize conduct as an anti-union practice. The foregoing is without prejudice to the responsibility of the Labour Directorate to report to the competent court any incidents it considers to constitute anti-union or unfair practices so that it may examine them. The Government adds that the entry into force of the Act may have given rise to some situations requiring adjustments through the administrative and/or legislative channels, all of which is currently under review with a view to creating greater certainty on the matter.
.The Government indicates that on  May , the Oriente Regional Labour Directorate declared the work of security guards to be the only minimum service, against which the enterprise lodged a hierarchical appeal, which was rejected. The Government also indicates that the designation of the minimum service allowed the enterprise and the trade union to proceed with their negotiations and that on  September  the current collective agreement was signed, which is in force until  September .
.With regard to the purported  conscious, repeated and systematic' non-compliance with the collective agreement signed on  October , the enterprise emphasizes that the complainant organizations did not specify which clauses the enterprise had allegedly violated and the nature of the alleged non-compliance. The enterprise indicates that the union sought voluntary mediation before the Labour Directorate to discuss provisions of the collective agreement in the light of various differences in opinion on the application of certain benefits and that the enterprise agreed to participate in that process. It indicates that it met with an official of the Labour Directorate and coordinated the submission of information concerning the matters that the union wished to address. However, the day before the meeting that was scheduled on  January , the Labour Directorate informed the enterprise that the trade union organization had decided to unilaterally change the agenda of the mediation and that it wished to address other topics; consequently, as it was a voluntary process, the enterprise decided not to continue with the mediation.
.The Committee observes that in the present case, the complainant organizations report anti-union dismissals, and the suspension of the collective bargaining process and non-compliance with the collective agreement by the largest print media enterprise in the country.
.The Committee notes that the complainants indicate that on  February , the enterprise dismissed  workers from the production area,  of whom were members of Trade Union No.  of the enterprise ( per cent of its  members), and allege that, although the enterprise justified the dismissals on economic grounds and on the basis of its decision to outsource part of the printing of the products to an external printing works that allegedly provided a lower-cost and higher-quality service, the dismissals were intended to instil fear in the workers and prevent any work stoppages during the collective bargaining process that was due to take place in the subsequent months.
.In this respect, the Committee notes that the enterprise indicates that: (i) its revenue has fallen by . per cent in recent years and restructuring has led to more than  people losing their job; (ii) the sustained loss of advertising revenue led to the enterprise deciding to outsource part of the printing of its products, which involved an internal restructuring that particularly affected the production area, as there were no other areas to which the workers concerned could be reassigned; and (iii) with a view to concluding the contractual relationship in an appropriate manner, the enterprise offered those who were in agreement with the contract termination a financial incentive over and above what it was legally obligated to offer, advice on social security and a plan for finding a new job.
.The Committee also notes that the complainants and the Government both indicate that more than half of the laid-off workers lodged complaints on the grounds of anti-union practices and sought to have the dismissals declared null and void, and that, according to the Government, decisions have been handed down in a number of proceedings, a conciliation agreement has been reached in some others, and in other proceedings either there has not yet been a decision or an action for annulment has been brought which has not yet been resolved. The Government also informs the Committee that in all of the court cases brought by the union in which a decision has been handed down, for a total of  workers, the layoffs were found to be lawful and the complaints of infringement of freedom of association were dismissed. The courts found that the outsourcing process had begun well before the collective bargaining process, that production was being outsourced with a view to increasing competitiveness and that it did not aim to weaken the union, either directly or indirectly, also taking account of the fact that the enterprise has high levels of unionization among all categories of employees.
.While duly noting the decisions and the fact that there are still legal proceedings ongoing, the Committee observes that, without prejudice to the financial reasons which may have underpinned the outsourcing, and without prejudice to the high level of unionization among the enterprise s workers, the layoffs almost exclusively affected",2,2017,Chile
4,"unionized workers and the restructuring had a direct impact on Trade Union No.  of the enterprise. However, the foregoing does not permit reaching the conclusion that the workers were dismissed because of their union membership or their participation in legitimate union activities. In this particular case, the Committee recalls the importance of consulting with trade unions when elaborating restructuring programmes, since they have a fundamental role to play in ensuring that programmes of this nature have the least possible effect on workers [see Compilation of decisions of the Committee on Freedom of Association, sixth edition, , para. ].
.The Committee notes that the complainants also allege that, without prior consultation with Trade Union No. , the enterprise requested the Labour Directorate to designate the minimum services and emergency teams, which resulted in a unilateral suspension of the collective bargaining process. In this regard, the Committee notes that the enterprise indicates that although Act No. , which was published on  September  and has been in force since  April , indicates that enterprises and trade union organizations may designate the minimum services and emergency teams by common accord, transitional article  of the Act indicates that, where collective bargaining is due to commence within two months of the entry into force of the Act, the employer must make an application to the Regional Labour Directorate within a time limit of ninety days beginning from the fourth month following the publication of the Act. The enterprise indicates that collective bargaining with the union was due to begin between April and May , and therefore the request for the designation of minimum services was due to be submitted by  March , on which date the enterprise submitted the request to the Labour Directorate.
.The Committee also notes that the Government adds that: (i) the right to request the designation of minimum services and emergency teams must be exercised with strict adherence to the principle of good faith; (ii) in a decision issued in November , the Labour Directorate determined that the employer s inertia in approaching its counterpart to seek an agreement on designating the minimum services and emergency teams cannot be considered to be a flaw that invalidates the submitted request; (iii) the entry into force of Act No.  might have given rise to situations requiring adjustments through the administrative and/or legislative channels, all of which is currently under review with a view to creating greater certainty on the matter; and (iv) on  May , the Labour Directorate declared the work of security guards to be the only minimum service, which allowed the parties to proceed with their negotiations, resulting in the signature of the current collective agreement on  September , which is valid until  September .
.The Committee observes that the matter concerning the request for the designation of minimum services and emergency teams has its origins in the provisions of transitional article  of Act No. , which applied only to collective bargaining processes that were due to begin within the first six months of the entry into force of the Act, that is, until October . Furthermore, taking into account the information from the Government that the enterprise and the union signed a collective agreement on  September  that is in force until  September , the Committee will not examine the matter further.
.Lastly, concerning the allegation of non-compliance with the collective agreement that is no longer in force, the Committee observes that, as the Government indicates, the complainants did not specify which clauses were allegedly violated by the enterprise and the nature of the alleged non-compliance. Consequently, and taking account of the fact that the union and the enterprise have negotiated a new collective agreement that is in force, the Committee will not examine this allegation further.
.In the light of its foregoing conclusions, the Committee invites the Governing Body to decide that this case does not call for further examination.",2,2017,Chile
5,".The complaint is contained in a communication from the National Association of Customs Officers of Chile (ANFACH), the National Association of Public Servants (ANEF) and the Amalgamated Workers' Union of Chile (CUT) dated  June . Further information was sent subsequently on  July .
.The Government sent its observations in communications dated  January and  October .
.Chile has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ), the Right to Organise and Collective Bargaining Convention,  (No. ), and the Labour Relations (Public Service) Convention,  (No. ).
.In their communications dated  June and  July , ANFACH, ANEF and CUT indicate that ANFACH entered into a memorandum of understanding with the Government on  November  on strengthening the National Customs Service (SNA). The signatories undertook to draft a bill to modernize the SNA and improve the working conditions of employees, by recruiting more staff, gradually integrating contractual workers into the workforce and holding internal competitions to fill vacant posts, giving priority to employee length of service. They also agreed on a timetable of action and the establishment of negotiating tables to reach agreement on specific aspects of the memorandum of agreement.
.The complainants indicate that, on  May , ANFACH submitted a proposal to the Government specifically on staffing levels and employee classification for submission to Congress and that, on  May, the Government submitted a counter-proposal that differed completely from the guidelines stipulated in the memorandum of understanding, and indicated that this was not open for amendment. The complainants indicate that the Government s proposal ignores the fact that the classification should be carried out in one single process, limits the inclusion of employees who have met the agreed length-of-service requirement (two years from  May ), cancels the internal promotion competitions agreed for  and generally removes length of service as the determining criterion for grade improvements and competitions.
.The complainants indicate that, due to the Government s refusal to adhere to the terms of the above-mentioned memorandum of understanding, ANFACH s national executive committee decided to call an indefinite strike from  May , with emergency teams in place to carry out any urgent work whose interruption could cause irreparable damage to the country. The complainants' state that during the work stoppage the circulation of people, vehicles and cargo was at no time held up, but was much slower and there was strict adherence to the regulations.
.The complainants allege that, notwithstanding the above, during the work stoppage the following acts of violence and irregularities occurred: (i) three union officials and one member of ANFACH who were demonstrating peacefully in the Arturo Merino Bentez airport on  May  were subjected to violent repression, evicted by the special police forces and detained for four hours; (ii) on  May , in the town of Iquique, the special police forces ordered the union members who were carrying out essential duties to leave and held the demonstrators for nearly three hours, who suffered physical and psychological violence at the hands of the police; (iii) On  May, the customs director of the Arica and Parinacota region ordered trusted and new employees and police staff to cover the posts of the strikers; and (iv) on  June , the manager on duty at the Los Andes customs facility at the Los Libertadores Border Complex, who was a member of ANFACH, was notified that he was being relieved of his duties by the customs administrator, for the sole reason that he had taken part in the strike.
.The complainants indicate that, on  June , after ANEF asked the President of the Republic to re-establish dialogue and to halt the use of police forces, the Government publicly stated that it was withdrawing the proposal that had led to the strike action and called for dialogue to resume. As a result, the strike was immediately called off. The complainants indicate that they requested the Government to abide by the original agreement and to ensure that there would be no reprisals of any kind against those who had taken part in the work stoppage. The complainants stated that, while there has been partial compliance with the first request, given that efforts are ongoing with the Government on the content of the proposal that will be submitted to National Congress, the second request on the other hand was not accepted and instead the Government implemented an unacceptably repressive policy.
.The complainants allege that more than  workers had their pay deducted, including almost all ANFACH union officials, and that SNA senior management was instructed to make a negative entry in the employment records of some employees, which is an unjustified reprisal considering that it is a sanction intended to punish poor management and not for taking part in a statutory strike. The complainants also allege that, on  June , a division of SNA headquarters informed its employees that it would not be renewing the contracts of the contractual workers who took part in the strike action. With regard to those threats, the complainants have provided a copy of the email sent on  June  by Ms Lidia Hernndez Villegas, Head of the Primary Control Point subdivision, addressed to all workers in primary control points in the metropolitan region, which states:  Dear colleagues of the Primary Control Point subdivision, as informed verbally by myself yesterday,  June , I am informing you again in writing of the instructions issued by the Service Directorate regarding the new measures to be implemented in work stoppages in the future. Employees may take part in a stoppage, but days not worked will be deducted from their pay and a negative entry will be made in their employment records; contractual workers who take part in a stoppage will not have their contracts renewed.' ,Scraping https://www.ilo.org/dyn/normlex/en/f?p=::::NO::P_COMPLAINT_TEXT_ID:
.Lastly, the complainants allege that the Government failed to use social dialogue mechanisms to handle the above-mentioned dispute. In particular, they consider that it did not observe Articles  and  of Convention No. , ratified by Chile, which require the adoption of machinery for negotiation or other methods to allow representatives of public employees to participate in the determination of terms and conditions of employment, as well as mechanisms to settle disputes pertaining to the determination of such terms and conditions that ensure the confidence of the parties involved.
.In its communications dated  January and  October , the Government indicates that the SNA is a public service responsible for monitoring and controlling the passage of goods via the coasts, borders and airports of Chile, for supervising international traffic for the purpose of collecting taxes on imports and exports and generating international traffic statistics. The Government also indicates that the SNA is subject to the authority of the Office of the Comptroller General and that the latter has issued a number of opinions to the effect that it is the exclusive right of the highest authority of a service to instruct its own staff on where they will be located, deciding at its discretion how its employees will be allocated and placed, depending on the needs of the department they manage.
.The Government indicates that, in a communication dated  May , ANFACH called a national strike, involving a total and indefinite work stoppage, from  May, during which no cargo or persons passing through customs would be handled. Between  May and  June , a work stoppage called by ANFACH took place, in which a total of  employees took part nationwide, which had a serious impact on the continuity of the service s work and on access by nationals and foreigners to the services provided by the organization, affecting in particular the transit of persons and goods in bordering countries. The Government indicates that, in order to provide the most important services for the population, senior management took emergency measures so as to offer as many essential services as possible, using staff not involved in the work stoppage or seconded from other departments.
.With regard to the alleged non-compliance with the memorandum of understanding entered into on  November , which in ANFACH s view violated Article  of Convention No. , the Government states that, once the strike action was over, the Government resumed negotiations with ANFACH. A negotiating table headed by the office of the Treasury Under-Secretary is currently in place with a view to reaching consensus on the outstanding issues of the memorandum of understanding. The executive branch is of the view that, if properly implemented, it will result in a major modernization of the SNA and lead not only to improving the working conditions of its employees but also to a more efficient service to meet the needs of citizens. According to the Government, this demonstrates its willingness to establish procedures for determining terms and conditions of employment as provided in Article  of the Convention.
.The Government reports that ANFACH filed an application for protection with the Valparaso appeals court against the",-1,2017,Chile
