,Document,Topic,Time,Country
0,".The complaint is contained in a communication dated  June  from the National Confederation of Trade Union Unity (CNUS) and the Dominican Association of Teachers (ADP).
.The Government sent its reply in communications dated  August ,  February  and  September .
.The Dominican Republic has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ) and the Right to Organise and Collective Bargaining Convention,  (No. ).
.The complainants report that there is a legal prohibition of the right to strike in the public education sector. In particular, they allege that:In the context of the activities that were planned and carried out in the framework of ADP s plan of action to demand a pay rise for teachers, as well as the payment of unpaid wages that have not been received, starting on  January , there were isolated work stoppages in various public schools in Barahona province, none of which endangered the progress of the school year.Several sectors, mainly those with business connections to education, carried out a broad media campaign against ADP, as a way of avoiding public sector labour demands that they would later press for to improve conditions in the private sector. The activities carried out by ADP were twisted and blown up to such an extent that it led to an appeal for amparo (remedy for the protection of constitutional rights) by several people who were supposedly representing a number of children who were supposedly studying at the schools where protests had taken place, facts that were never proven in the subsequent legal proceedings.As a consequence of that appeal for amparo, on  March , the First Chamber of the Civil, Commercial and Labour Panel of the Court of First Instance of Barahona handed down ruling No. -: (a) ordering ADP to immediately lift its teaching stoppage and to call on the teaching staff to return to work; (b) warning ADP, going forward, to refrain from teaching stoppages that impede the fundamental right to education, because that takes precedence over the others, without prejudice to the legitimate right of ADP to make its demands to the competent authorities by other legal means; (c) affirming that stopping classes was illegal since preschool, primary and secondary school education are mandatory, and (d) imposing a penalty of , Dominican pesos (approximately US$) per day for any delay in compliance with the ruling, to be paid to the vocational school of the armed forces and the national police of Barahona.In the light of this ruling, ADP lodged an appeal for review with the Constitutional Tribunal, which unfortunately, in ruling TC//, dated  May , rejected the appeal and upheld the ruling. The complainants report that with this decision, the Constitutional Tribunal treated the education sector as an essential service, which contradicts the Committee s comments on the matter.
.The complainants believe that the fact that the exercise of the right to strike in the sector is not regulated ' even though it is generally recognized in the Constitution ' should not have led the courts to deny its existence. In that regard, they believe that in order to resolve the situation it is necessary to amend the applicable legislation so that it explicitly recognizes the right to strike in the public education sector. The complainants also state that the other dispute resolution mechanisms that the Constitutional Court referred to, such as mediation or arbitration in collective disputes, which are applicable to the private sector in the framework of the Labour Code, are not accessible to the public education sector, since neither the Civil Service Act (No. -) nor the Labour Relations Regulations provide for such mechanisms. The complainants believe that this leaves public education workers completely defenceless.
.The Government sent its observations on the case in communications dated  August ,  February  and  September .
.The Government notes that, in accordance with the Civil Service Act No. - and its implementing Regulation No. -, strikes are prohibited in the essential public services ' that is, those whose interruption could endanger the life, health or security of citizens ' although those who provide those kinds of services can submit the labour dispute for the consideration of the personnel committee of the relevant body.
.With regard to the specific case that is the subject of the complaint, the Government provides a transcript of the text of the  May  Constitutional Court ruling, which upheld the ruling that was appealed and in which it was established that: (i) a series of marches, pickets, meetings and partial teaching stoppages were held to call for improvements in the working conditions in public schools in the Barahona area and that these partial teaching stoppages affected the school hours that the students should have received, so a number of parents and tutors made an appeal for amparo; (ii) the teaching stoppages for the strike called by ADP seriously harmed the right to education and equality, since students at private schools had no such interruptions to their curriculums; (iii) minor students should not be used as a means to resolve disputes and have the right to receive a public education in the same conditions as everyone else; (iv) progressive and indiscriminate teaching stoppages, not taking into account the pupils' families, have collateral effects on fundamental rights, in that: they disrupt the student body with regard to the discipline developed in keeping up with educational commitments; they affect family scheduling in the social, economic and labour order, as well as food security; they change the emotional state of parents who take advantage of the time that their children are at school to become professionals and join the labour market; and they also change the emotional state of families in at-risk or vulnerable situations related to their children, and (v) as a result, the Court considered that free public education at the preschool, primary and secondary levels should be added to the traditional definition of essential services ' those whose stoppage endangers the life, health or security of people in all or part of the population ' in cases when there is a  progressive, prolonged and indiscriminate' teaching stoppage.
.In addition, the Government reports that, after the ruling, ADP and the Ministry of Education signed an agreement for quality education on  January , in which, with a view to obtaining a harmonious atmosphere that contributes to quality education, both parties committed, among other things: (i) to commit to adhere to the school timetable throughout the country; (ii) not to interfere in each other s affairs or structures, agreeing to maintain mutual respect; and (iii) that teacher transfers will be carried out with the consent of district and regional human resources, and ADP s suggestions will be heard.
.The present complaint alleges the prohibition, by means of a judicial ruling, of the right to strike in the public education sector. The Committee observes that, according to the ruling in question from the Constitutional Court, the actions underlying the complaint were  a series of marches, pickets, meetings and partial teaching stoppages to call for improvements in the working conditions in public schools' in the Barahona area, and that  these partial teaching stoppages affected the school hours that the students should have received, so a number of parents and tutors made an appeal for amparo'  The Committee observes that, as a result of the amparo, the Constitutional Court decided, based on its considerations, to  classify free public education at the preschool, primary and secondary levels as an essential service when there is a progressive, prolonged and indiscriminate teaching stoppage' 
.The Committee is not in a position to begin assessing the impact that the strike whose prohibition resulted in the presentation of the complaint could have had. The Committee recalls that what is meant by essential services in the strict sense of the term depends to a large extent on the particular circumstances prevailing in a country. Moreover, this concept is not absolute, in the sense that a non-essential service may become essential if a strike lasts beyond a certain time or extends beyond a certain scope, thus endangering the life, personal safety or health of the whole or part of the population. The Committee also recalls that where the right to strike is restricted or prohibited in certain essential undertakings or services, adequate protection should be given to the workers to compensate for the limitation thereby placed on their freedom of action with regard to disputes affecting undertakings or services. The Committee further recalls that although the education sector does not constitute an essential service in the strict sense of the term and the possible long-term consequences of strikes in the teaching sector do not justify their prohibition, minimum services may be established in the education sector, in full consultation with the social partners, in cases of strikes of long duration. [see Compilation of decisions of the Committee on Freedom of Association, sixth edition, , paras , , ,  and",0,2019,Dominican Republic
1,"]. The Committee invites the Government, in consultation with ADP, to take the necessary measures to guarantee the exercise of the right to strike in the public education sector, including the possibility of establishing mechanisms to secure minimum services in full consultation with the social partners, in cases of strikes of long duration. The Committee requests the Government to keep it informed of developments.
.The Committee observes that according to the complainants' allegations, which the Government does not deny in its reply, public school teachers lack access to dispute resolution mechanisms that are available to private school workers, such as mediation or arbitration in collective disputes. The Committee notes that an agreement has been signed between the Ministry of Education and the ADP with a view to obtaining a harmonious atmosphere that contributes to quality education in the country and observes that the text of the agreement reflects a positive step in the dialogue between the parties and includes commitments on a number of matters. The Committee also observes that the agreement lacks specific provisions for the management of collective labour disputes. The Committee recalls that according to the Voluntary Conciliation and Arbitration Recommendation,  (No. ), voluntary conciliation machinery, appropriate to national conditions, should be made available to assist in the prevention and settlement of industrial disputes between employers and workers. Provision should be made to enable the procedure to be set in motion, either on the initiative of any of the parties to the dispute or ex officio by the voluntary conciliation authority [see Compilation, para. ]. In that regard, the Committee invites the Government to include in its consultations with ADP the consideration of measures to ensure the existence of adequate mechanisms for the resolution of collective disputes in the public education sector.
.In the light of its foregoing conclusions, the Committee invites the Governing Body to approve the following recommendations:(a)	The Committee invites the Government, in consultation with ADP, to take the necessary measures to guarantee the exercise of the right to strike in the public education sector, including the possibility of establishing mechanisms to secure minimum services in full consultation with the social partners, in cases of strikes of long duration. The Committee requests the Government to keep it informed of developments.(b)	The Committee invites the Government to include in its consultations with ADP the consideration of measures to ensure the existence of adequate mechanisms for the resolution of collective disputes in the public education sector.",0,2019,Dominican Republic
2,".The complaint is contained in a communication of the National Confederation of Trade Union Unity (CNUS), the National Union of Nursing Workers (SINATRAE) and the National Union of Health Technicians and Employees (SINATESA) dated  June .
.The Government sent observations in a communication dated  February .
.The Dominican Republic has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ), and the Right to Organise and Collective Bargaining Convention,  (No. ).
.In their communication of  June , the complainants allege that the Government of the Dominican Republic, through the National Council on Aging (hereinafter  the health body' , an official body attached to the Ministry of Health, has committed a series of violations of the principles of freedom of association and collective bargaining.
.The complainants indicate that on  August , SINATRAE, SINATESA and other trade unions from the health sector of the Dominican Republic signed an agreement with the Ministry of Health awarding nurses, bioanalysts, psychologists, dental surgeons and pharmacists a salary increase from January , pension calculation based on the last full salary, and incentives based on performance and seniority. The complainants state, however, that the health body refused to apply the agreement, including the negotiated salary increases, to nurses, technicians and employees providing services in the old people s homes and centres that are under its management. This led to a series of peaceful protests that, according to the allegations, resulted in the following retaliatory action: (i) Mr Julio Cesar Garca Cruceta and Ms Argentina Abreu, directors of the complainant organizations, were prevented from accessing the facilities of the health body and the old people s homes and centres; and (ii) among others, Ms Mara Teresa Valladares Curro and Ms Francia Ybelice Rodrguez Heredia, nurses who are members of SINATRAE, were prevented from returning to work and have not received their salaries since April , despite the fact that no disciplinary proceedings had been instituted against them.
.As the health body declined to meet with the directors of SINATRAE and SINATESA, the complainants indicate that efforts to resolve the conflict and restore the rights that had been breached were unsuccessful. Consequently, the complainants allege that the practices of the health body, implemented by its director, violated the principles of freedom of association and the right to due process in accordance with the Constitution of the Republic and Act No. - on the Public Service, as well as ILO Conventions Nos  and . On that basis, the complainants seek an end to the antiunion practices, and in particular: (i) recognition of SINATRAE and SINATESA as legitimate representatives of nurses and the technicians and employees, respectively, who provide services in the old people s homes and centres that are under the responsibility of the health body, and access for their directors to the facilities of the health body; (ii) application of the terms of the agreement signed in August  by SINATRAE, SINATESA and other trade unions with the Ministry of Health to the workers of the health body, in particular with regard to the negotiated salary increase; and (iii) the return of Ms Mara Teresa Valladares Curro and Ms Francia Ybelice Rodrguez Heredia to their usual tasks and payment of the salaries due to them until they are reinstated in their respective posts.
.In its communication of  February , the Government indicates that SINATRAE and SINATESA are duly registered, and that there had never been any reports of their being prevented from representing nurses and the technicians and employees who provide services in old people s homes and centres. As to the alleged refusal of the health body to meet with representatives of SINATRAE and SINATESA, the Government states that on  April , Mr Julio Cesar Garca Cruceta and Ms Argentina Abreu were received at the facilities of the health body. According to the executive director of the health body, on that occasion SINATRAE demanded that the union dues of the nurses affiliated to it be remitted to it, which in accordance with Act No. - on the Public Service was not possible without the explicit authorization of the nurses. The director of the health body alleges that because the demand to automatically remit the union dues to SINATRAE was denied, this led to the trade union accusing her of irregular management of funds.
.With regard to the alleged obstruction of access to the facilities of the health body and the old people s homes and centres, the Government states that on  June , as on other occasions, members of SINATRAE and SINATESA, including Mr Julio Cesar Garca Cruceta and Ms Argentina Abreu, were present in the San Francisco de Ass old people s home, where they promoted strikes and stoppages, despite the fact that Act No. - on the Public Service prohibits organizations of public servants from encouraging, initiating and supporting strikes in those public services whose disruption may endanger the life, health or safety of citizens. The Government indicates that persons providing this category of service are entitled to submit the labour dispute for the consideration of the human resources committee of the corresponding body, but that the said trade union organizations did not exhaust that process.
.Concerning the alleged non-application of the salary increase agreed upon with the Ministry of Health to the nurses who provide services in the various old people s homes and centres of the health body, the Government indicates that since the issuance of Decree No. - on  April , said nurses have been part of the health body s workforce, and no longer that of the Ministry of Health, which is why they are excluded from the application of the agreement with the Ministry. However, the Government indicates that annual performance reviews have awarded a salary increase for all staff working in the health body.
.Lastly, with respect to the alleged prevention from returning to work, specifically concerning Ms Mara Teresa Valladares Curro and Ms Francia Ybelice Rodrguez Heredia, the Government reports that both were dismissed from their posts for having committed, respectively, the following third-degree offences under article  of Act No.   on the Public Service: ' . Failing to be present at work for three () consecutive working days, or three () days in the same month, without authorization from the competent authority, or without good cause, thereby constituting job abandonment' and ' . Committing any other offences similar in nature or seriousness to the foregoing in the judgement of the authority that applies sanctions' 
.The Committee observes that this case refers, firstly, to the non-application of the Agreement between the National Government and the Workers' Organizations of the Health Sector, signed on  August , to the nurses, technicians and employees who provide services in the old people s homes and care centres managed by the health body and, secondly, to alleged antiunion acts following protests conducted by the trade union organizations with a view to obtaining the application of the said agreement.
.With regard to the non-application of the collective agreement of  August  to the workers of the health body, the Committee notes that the Government states that, under Decree No. -, since  April , the nurses under the direction of the health body report to that body for administrative purposes and no longer to the Ministry of Health, and therefore the Committee observes that there is a discrepancy between the parties on the scope of the aforementioned agreement. The Committee emphasizes, firstly, that it is not for the Committee to resolve disputes over the interpretation of the scope of clauses in collective agreements, as that is the responsibility of the national judicial organs or the specific bodies designated for that purpose by the same collective agreement. In this respect, the Committee recalls that, in the event of conflicting interpretations of a collective agreement in the public sector, the definitive interpretation should not be that of the public administration, which would be acting as judge as well as party in the case, but rather that of an independent authority [see Compilation of decisions of the Committee on Freedom of Association, sixth edition, , para. ].
.In the light of the foregoing, and observing that the parties make no reference to the existence of any judicial proceedings concerning the interpretation of the  collective agreement or to a process of dialogue to determine the arrangements for the exercise of the right to collective bargaining for the workers of the health body, the Committee trusts that the dispute over the scope of the  collective agreement will be resolved rapidly, whether through dialogue between the parties or through a decision of an independent authority. The Committee also emphasizes that, whatever the decision on the applicability of the collective agreement of  August  to the workers of the health body, the Government must ensure that those workers can exercise their right to collective bargaining.
.With regard to the alleged antiunion acts in response to the protests conducted by SINATRAE",0,2017,Dominican Republic
3,"and SINATESA to obtain the application of the agreement, the Committee notes that the complainants allege that, despite being peaceful, the protests resulted in the following retaliatory action: (i) the health body s lack of recognition of SINATRAE and SINATESA as legitimate representatives of the workers of the body, and the directors of those trade unions being prevented from accessing the facilities of the health body; and (ii) the exclusion of Ms Mara Teresa Valladares Curro and Ms Francia Ybelice Rodrguez Heredia, nurses who are members of SINATRAE, from their respective jobs, who have not received their salary since April , despite the fact that no disciplinary proceedings were initiated against them.
.The Committee notes that the Government states that there have never been any reports of the directors of SINATRAE and SINATESA having been prevented from representing nurses and the technicians and employees who provide services in the old people s homes and centres, and that on various occasions, the most senior directors of both unions accessed the health body s facilities, including to promote strikes and stoppages, despite a statutory prohibition on encouraging, initiating and supporting strikes in those public services whose disruption may endanger the life, health or safety of citizens. The Committee notes that the Government adds that the workers who provide this category of service are entitled to submit the labour dispute for the consideration of the human resources committee of the corresponding body but that the said trade union organizations did not use that process. Lastly, the Committee notes the documents provided by the Government showing that the nurses, Ms Mara Teresa Valladares Curro and Ms Francia Ybelice Rodrguez Heredia, were dismissed as a result of third-degree offences, in accordance with article  of Act No. - on the Public Service. According to the copies of the communications sent by the Government, Ms Mara Teresa Valladares Curro breached paragraph  of article :  Failing to be present at work for three () consecutive working days, or three days in the same month, without authorization from the competent authority, or without good cause, thereby constituting job abandonment'  and Ms Francia Ybelice Rodrguez Heredia breached paragraph  of article :  Committing any other offences similar in nature or seriousness to the foregoing in the judgement of the authority that applies sanctions' 
.As to the alleged non-recognition of SINATRAE and SINATESA as legitimate representatives of the workers of the health body, and the alleged denial of access of their directors to its facilities, the Committee observes that the Government denies these claims. In view of the differing versions of the Government and the complainant organizations, the Committee trusts that within the health body the right of the mentioned trade union organizations to access the working place of their members is fully respected .
.As to the situation of the nurses, Ms Mara Teresa Valladares Curro and Ms Francia Ybelice Rodrguez Heredia, while duly noting the documents provided by the Government on the dismissal of the two workers, the Committee observes that the Government does not respond to the allegation that the workers had not been subject to the disciplinary proceedings provided for in Act No. - on the Public Service, and that the offence that resulted in the dismissal of Ms Rodrguez is not specified. With a view to ensuring that the mechanisms affording appropriate protection against antiunion discrimination have been applied, the Committee requests the Government to take the requisite measures to verify that the disciplinary proceedings provided for in the legislation have been duly applied to both workers and to ensure that the grounds for the dismissals are not contrary to the principles of freedom of association.
.In the light of its foregoing conclusions, the Committee invites the Governing Body to approve the following recommendations:(a)	The Committee trusts that the dispute over the scope of the  collective agreement will be resolved rapidly, whether through dialogue between the parties or through a decision of an independent authority. The Committee also requests the Government to ensure that, whatever the decision on the aforementioned dispute over interpretation, the workers of the health body can exercise their right to collective bargaining.(b)	The Committee requests the Government to take the requisite measures to ensure that the disciplinary proceedings provided for in the legislation have been duly applied to Ms Mara Teresa Valladares Curro and Ms Francia Ybelice Rodrguez Heredia and to ensure that the grounds for the dismissals are not contrary to the principles of freedom of association.",0,2017,Dominican Republic
4,".The Committee last examined this case, which refers to anti-union dismissals in an airport sector company, at its October  session (see th Report, paras ' ). On that occasion, the Committee requested the Government to keep it informed of the judicial proceedings in which there would be an examination of the causes that gave rise to the dismissals of the members of the board of directors (Management Committee) of the workers' union of the enterprise (SITRAVIAM) and their alleged anti-union nature, and to send its observations with regard to the accusations against the membership of the Management Committee of a violation of State security, which had led to the decision of the National Department of Investigations (DNI) to withdraw the access card to the ramp and restricted areas of the airport.
.In a communication of  February , the Government indicates that: (i) on  July  it received a communication from the complainant, the National Confederation of Dominican Workers (CNTD), with information on a dialogue process between SITRAVIAM and the airport sector company in the framework of the Tripartite Round Table on Matters relating to International Labour Standards; and (ii) on  December , it received a communication from the Employers' Confederation of the Dominican Republic (COPARDOM) reporting that, as a result of the conciliation process with the intervention of the Mediation and Arbitration Directorate of the Ministry of Labour, SITRAVIAM and the airport sector company had settled their differences and reached an agreement. The Government attached a copy of the memorandum of settlement, of  November , in which, in addition to agreeing on various trade union demands relating to improvements in working conditions, it indicates that the parties briefly discussed the complaint that the trade union had presented to this Committee. The memorandum of settlement indicates that the trade union recognized that the facts that had led to the submission of this complaint had been resolved through frank and open dialogue, based on which the trade union supported its withdrawal.
.With respect to the withdrawal of the access card to the ramp and restricted areas of the airport, the Government indicates that the security checkpoints in the restricted areas of airports are in line with international security standards, as a protection and control measure both for aircraft crew and passengers, and hence the restriction applies to all workers working in the airport and therefore cannot be considered an anti-union measure.
.The Committee takes due note of the information provided by the Government. While it regrets that the Government had not provided information with respect to the judicial proceedings in which there would be an examination of the causes that gave rise to the dismissals of the members of Management Committee of SITRAVIAM and their alleged anti-union nature, the Committee, notes that, according to the tenth point of the above memorandum of settlement, SITRAVIAM stated that the facts that had provided the basis for the submission of the complaint had been successfully resolved. In the light of the above, the Committee considers that this case closed and will not pursue its examination.
.The complaint is contained in a communication of the National Confederation of Dominican Workers (CNTD) dated  June .
.The Government sent its observations in a communication dated  January .
.The Dominican Republic has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ), and the Right to Organise and Collective Bargaining Convention,  (No. ).
.In its communication dated  June , the complainant organization indicates that due to poor working conditions, including low wages, long working hours and maltreatment, a group of workers at Aviam Ltd Aviation Ground Services (hereinafter the airport sector company) on  June  formed the Aviam Ltd Aviation Ground Services Workers' Union, and sent the accompanying documentation to the Ministry of Labour. In this regard, the complainant organization indicates that on  July , by Decision No. -, the Director-General of Labour approved the foundation of the union.
.The complainant organization indicates that on  June , the airport sector company was notified by Document No. - of the foundation of the union and of the membership of the board of directors (Management Committee) which included Messrs Ariel Silverio Peralta, ngel Ricardo Pea Perez, Luis Emilio Gonzlez Rodrguez, Roberto del Rosario Peralta, Alexis de Jess, Yey Marcos Santana Lugo, Rafaelito Medina Mndez, Claudio Gonzlez Solon, ngel Emilio Snchez Hernndez and Francisco Antonio Cuevas, Esther Rosario, Nicauris Henriquez Paredes and Netali Paredes Vsquez.
.The complainant organization alleges that as soon as it received notification of the establishment of the union, the airport sector company suspended the members of the Management Committee. On  July , the members of the Management Committee were notified (Document No. ) of their dismissal without stated cause (dismissal) in violation of the Labour Code on trade union immunity.
.According to the complainant organization, the flagrant violations committed by the airport sector company were confirmed during the inspection conducted by the Labour Inspectorate, which concluded in its report of  July  that the company, by its dismissal of the members of the Management Committee, had violated the freedom of association of the workers who had decided to form a trade union.
.The complainant organization points out that these reprisals against union activities constitute a violation of article  of the Constitution of the Dominican Republic and articles  and '  of the Labour Code, as well as of ILO Conventions Nos  and . In addition, it highlights that these dismissals not only caused serious economic, moral and social damage to the workers concerned, who lost their main means of subsistence, but also had a negative impact on the exercise of freedom of association since they created a hostile environment and widespread fear in the company and hindered the consolidation of the union.
.The trade union also denounces the lack of effectiveness of the national procedures and mechanisms to guarantee and protect freedom of association. In this respect, the complainant organization alleges that: (i) on  August , the union, supported by the CNTD, having exhausted all possible amicable and conciliatory means of resolving the conflict, lodged a formal claim seeking annulment of the dismissal, reinstatement, payment of lost wages and compensation for damages caused; (ii) on  March , by its Judgment No. -, the Labour Court of the La Altagracia judicial district declared the aforementioned claim valid in terms of form, but declared it inadmissible owing to insufficient legal grounds and lack of legal basis, ordering the union to pay costs; and (iii) on  March , the union and the workers concerned appealed Judgment No. - before the Labour Court of the San Pedro de Macors judicial department.
.The complainant organization alleges that the company requested extensions on four occasions in order to delay the appeals process. During the last hearing, which took place on  February , the company requested authorization from the Labour Court of the San Pedro de Macors judicial department to deposit certain documents, including a communication dated  February  from the National Department of Investigations (DNI), an intelligence agency under the authority of the armed forces of the Dominican Republic. This communication indicated that on  July , the DNI had required Punta Cana International Airport (AIPC) and the Specialized Airport Security Body (CESAC) to withdraw the access card to the ramp and restricted areas from members of the union s Management Committee, allegedly for reasons of national security, and that that measure remained in force.
.The complainant organization points out that accusing members of the Management Committee of acting against national security constitutes an extremely serious act, as it is associated with terrorist actions. Consequently, the members of the Management Committee, against whom this serious accusation has been made despite their not having a criminal record, have not only lost their jobs but have suffered serious repercussions in their personal and working lives, as well as in the exercise of their fundamental rights, such as the right to work and the right to freedom of movement, since it is common practice in the country to ask prospective workers for  certificates of good conduct' which are issued on the basis of information held by state security organizations, including the DNI.
.According to the complainant organization, the company presented the communication of the DNI as a means of evading responsibility for having made an unlawful dismissal. Furthermore, it indicates that the collusion of the DNI with the private company is inimical to freedom of association and thoroughly compromises the responsibility of the State, and concludes by indicating that the workers were subjected to anti-union discrimination.
.Lastly, the complainant organization requests the Committee to grant effective guarantees to the workers so that they can enjoy the right to organize and to order the company to desist from anti-union practices immediately, annul the dismissal of the workers, reinstate them in their normal work and pay them their lost wages.
.In its communication of  January , the Government indicates that: (i) on  June , the",0,2017,Dominican Republic
5,"union notified the company and the Ministry of Labour of the membership of the Management Committee; (ii) on  July , the company notified all members of the aforementioned union of the letter of dismissal; (iii) on  July , Mr Jacobo Ramos, President of the CNTD, made a request to Mr Luis Francisco Regalado, Director of Mediation and Arbitration and to Mr Andrs Valentn Herrera, Director-General of Labour in the Ministry of Labour for mediation in respect of the alleged violations of freedom of association; (iv) on  July , the Director of Mediation and Arbitration forwarded the request for mediation and inspection to the Director-General of Labour to order an investigation; (v) on  July , Mr Ariel Silverio Polanco, General Secretary of the airport sector company trade union, appeared before the Local Labour Representation of the Ministry of Labour alleging violations of freedom of association, including anti-union dismissals; the Ministry of Labour therefore appointed a labour inspector to conduct an investigation into the allegation; (vi) on  July , Decision No. - of the Director-General of Labour granting trade union registration was issued; (vii) the labour inspector, having conducted the inspection, concluded that the company was violating its workers' right to freedom of association and therefore proceeded to draft a warning report with a view to correcting the situation and, once the period granted had expired, drafted the corresponding violation report; (viii) on  July , the Directorate of Mediation and Arbitration summoned the company and the union to mediation which, at the request of the union and the company, was postponed on various occasions and took place on  September ; (ix) subsequently, the union brought a case for the annulment of the dismissal, reinstatement, payment of lost wages and compensation for damages against the company before the Labour Court of the La Altagracia judicial district, which, on  March , ruled in favour of the company (Judgment No. -); (x) on  March , the union appealed Judgment No. - before the Labour Court of the San Pedro de Macors judicial department; and (xi) on  February , the company filed a request for production of new documents relating to the appeal, annexing a communication dated  February  issued by the DNI, indicating that on  July  this body had required the AIPC and CESAC to withdraw the access card to the ramp and to restricted areas of the airport from members of the Management Committee on the grounds of national security.
.The Government considers that the Dominican State, through the Ministry of Labour and Directorate-General of Labour, the Directorate of the Inspection Coordination System and the Directorate of Mediation and Arbitration, intervened with the objective of bringing the union into existence, as evidenced by Decision No. - of the Director-General of Labour whereby the union was registered. Likewise, the Government underscores that a violation report was drafted by the Labour Inspectorate when it understood that the company had violated the Labour Code and constitutional principles, and that the State had promoted legal protection of freedom of association.
.The Committee notes that in this complaint, the complainant organization alleges that the members of the Management Committee involved in forming the Aviam Ltd Aviation Ground Services Workers' Union were subjected to anti-union dismissals by an airport sector company. Furthermore, the complainant organization denounces the ineffectiveness of the national procedures and mechanisms for guaranteeing respect for fundamental rights in relation to freedom of association; and the alleged collusion between the DNI and the company, which led to the access card to the ramp and restricted areas of the airport being withdrawn from members of the Management Committee on the grounds of national security.
.The Committee notes that both the complainant organization and the Government indicate that: (i) a group of workers at the airport sector company established the union on  June  and that the following day, the union notified the company and the Ministry of Labour of this fact and of the membership of the Management Committee; (ii) on  July , the company dismissed the Management Committee; (iii) on  July , the union was registered; (iv) the report of the labour inspector dated  July  noted  actions detrimental to freedom of association'  and (v) the union brought a case for the annulment of the dismissal, reinstatement, payment of lost wages and compensation for damages before the Labour Court of the La Altagracia judicial district, which by its Judgment No. - declared the case inadmissible  for insufficient legal grounds and lack of legal basis'  (vi) the union appealed the judgment before the Labour Court of the San Pedro de Macors judicial department; and (vii) on  February , the company sought authorization from the appeals court to deposit a communication from the DNI indicating that on  July  this body had required the AIPC and CESAC to withdraw the access card to the ramp and restricted areas of the airport from members of the Management Committee on the grounds of national security.
.The Committee notes that in its reply, the Government points out that through the Ministry of Labour and the Directorate-General of Labour, the Directorate of the Inspection Coordination System and the Directorate of Mediation and Arbitration intervened with the objective of bringing the union into existence, as evidenced by Decision No. - of the Director-General of Labour whereby the union was registered. The Committee also takes note of the Government s reply indicating that a violation report was drafted by the Labour Inspectorate, when it understood that the company had violated the Labour Code and constitutional principles; and that the State had promoted legal protection of freedom of association.
.In respect of the alleged anti-union dismissals and the alleged ineffectiveness of the national, administrative and judicial mechanisms in guaranteeing respect for freedom of association, the Committee takes note of the labour inspector s report, transmitted by the complainant organization and the Government, which indicates that once the deadline given to the company to reinstate the workers had expired, the labour inspector issued a violation report No.  because the company had taken  actions detrimental to freedom of association' by dismissing workers protected by trade union immunity in accordance with articles () and  of the Labour Code, and concludes that the company was violating the right to freedom of association of the workers who decided to form an establishment trade union. The Committee notes that at the judicial level, the court of first instance rejected the request for annulment of the dismissal, reinstatement, payment of lost wages and compensation for damages, on the specific grounds that: (i) the union acted outside its sphere of competence, namely  in defence of the particular interests of the workers of the union' and not in defence of their  common interests' as provided for in article  of the Labour Code; (ii)  there is no evidence in the file that the union notified both its employer and the labour authorities which workers were protected by trade union immunity'  and (iii) in respect of compensation, the fault attributed to the complainant was not established. While noting that the members of the Management Committee were dismissed days after the establishment of the union, the Committee notes that the first instance judge considered only the issue of the trade union s competence to bring an action to court on behalf of the members of the Management Committee, rejecting the request. Consequently, the first instance judgment did not examine the reasons for the dismissals and their alleged anti-union character nor does it refer in its whereas clauses to the aforementioned decision of the Labour Inspectorate. The Committee further notes that the complainant organization appealed Judgment No.   and that the judgment was pending resolution by the Labour Court of the San Pedro de Macors judicial department. The Committee, observing that the dismissals of the members of the Management Committee occurred more than three years ago, recalls that cases concerning anti-union discrimination contrary to Convention No.  should be examined rapidly so that the necessary remedies can be really effective. An excessive delay in processing cases of anti-union discrimination and, in particular, a lengthy delay in concluding the proceedings concerning the reinstatement of the trade union leaders who were dismissed, constitute a denial of justice and therefore a denial of the trade union rights of the persons concerned [see Compilation of decisions of the Committee on Freedom of Association, sixth edition, , para. ]. Furthermore, the Committee recalls in respect of the alleged lack of competence of the union to represent its members, that in a previous case (see th Report (India), paragraph ) the Committee considered that workers who consider that they have been prejudiced because of their trade union activities should have access to means of redress which are expeditious, inexpensive and fully impartial [see Compilation, op. cit., para. ] and requested the Government to adopt all the necessary measures, including",0,2017,Dominican Republic
