,Document,Topic,Time,Country
0,".The complaint is contained in a communication dated  January  from Education International (EI) and the Teachers' Union of the Autonomous National University of Honduras (SIDUNAH).
.The Government sent its observations in a communication dated  July .
.Honduras has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ) and the Right to Organise and Collective Bargaining Convention,  (No. ).
.In their communication dated  January , EI and SIDUNAH allege that: (i) the Autonomous National University of Honduras (UNAH), an autonomous state institution, refuses to recognize the legal existence of SIDUNAH for the purposes of representing all the teaching staff who work at UNAH; and (ii) refuses to transfer to it the sums of money corresponding to the union dues deducted from all teaching staff. The complainants report that: (i) SIDUNAH was established in  and its recognition by the Secretary of State in the Department of Labour and Social Security was published on  January ; and (ii) on  April  a request was submitted to UNAH for it to transfer the union dues to SIDUNAH from that point on, a request that was allegedly denied by UNAH.
.The complainants note that, in light of the refusal of the university authorities to recognize SIDUNAH as a trade union and to transfer to it the funds corresponding to the union dues deducted from the university teachers, SIDUNAH lodged an appeal for amparo (remedy for the protection of constitutional rights) with the Constitutional Chamber of the Supreme Court of Justice and that, by means of a ruling dated  July , the Court ordered UNAH to recognize SIDUNAH and to transfer to it the union dues deducted from the teachers since April .
.The complainants allege that the university authorities did not comply with this sentence and they therefore requested that an executing officer be appointed, in accordance with articles  and  of the Constitutional Justice Act, a request that was granted and the Supreme Court appointed an executing officer and a court order was obtained for the seizure of the funds relating to the period from April  to  October  from the Central Bank of Honduras. The complainants note that they are requesting the same procedure for the seizure of the funds corresponding to the union dues from  November  to  December , although that request is allegedly being stalled by the Central Bank, which appears to be conspiring with the university authorities and the other trade union involved.
.In a communication dated  July , the Government noted that on  April , SIDUNAH submitted a document to UNAH stating that it had legal recognition and requested that the deductions of union dues, from the teachers who work at that institution, be transferred to it (request logged as administrative file No. SG-UEA---). The Government notes that by means of documents dated  and  April , the rector s office of UNAH requested SIDUNAH to correct a number of deficiencies and, in accordance with the provisions of article  of the Labour Code, to, among other things, provide accreditation for the teachers by means of their respective original signed membership applications, along with a copy that can be duly checked, as well as a certified extract of the records of the meeting held by the members of SIDUNAH, in which, by majority vote, they request UNAH to take a deduction from the wages of the affiliated workers and to make available to the union the ordinary and extraordinary dues that they are required to contribute.
.The Government notes that, even though on  July , SIDUNAH partially corrected the things that had been requested of it, it did not comply with the aforementioned, therefore, on  October , UNAH decided to shelve the proceedings. The Government also notes that: (i) on  October , SIDUNAH appealed that ruling and requested that it be declared partially void; (ii) on  November , SIDUNAH requested the rector's office of UNAH to send certification that it had given implied consent (article  of the Administrative Proceedings Act, which provides that: ""The silence of the Administration shall have the effect of a declaration of presumed intent, only in such cases in which the Act gives it a positive or negative effect""); (iii) on  November , the rector's office decided that it should refer back to what had been decided on  October (that is, to shelve the proceedings); (iv) on  November , SIDUNAH submitted a document entitled ""Document certifying that implied consent has been given in its favour"" (which was received by the secretariat of the University Council on  December ); and (v) on  July , the Legal Department issued a report on the matter.
.The Government notes that on  March , SIDUNAH lodged an appeal for amparo (remedy for the protection of constitutional rights) before the Constitutional Chamber of the Supreme Court of Justice and that on  July , the Court issued its ruling granting amparo having considered that implied consent had been given and ""that, having detected an infringement of the right to petition, of the right to defence and, as a result, to due process, the teachers belonging to SIDUNAH were granted amparo, in order that their right to due administrative process be restored to them, providing them with the certification of implied consent, because it had been proven that there had been no response for more than two years, which gave rise to the legal effect of a positive reply to the request"". The Government notes that the Court ordered UNAH to recognize SIDUNAH and its board of directors and to proceed with the transfer of the sums of money corresponding to the deductions for ordinary and extraordinary union dues from April  until the date of the ruling.
.According to the Government, in compliance with this ruling, on  January , the rector s office of UNAH ordered the recognition of SIDUNAH and ordered the general secretariat to request SIDUNAH to submit union membership rolls, which should be accompanied by a signed authorization and the fingerprint, employee number and identity number of each member, for the purposes of the salary deductions. The executive secretariat for staff development was also ordered to implement the deductions for SIDUNAH members, in accordance with the lists submitted.
.The Government indicates that: (i) SIDUNAH believed that the sentence had not been wholly complied with and requested the Constitutional Chamber to appoint an executing officer to ensure that the sentence was carried out; and (ii) the Court appointed an executing officer, without overseeing their work or defining the procedures to follow for accomplishing their mandate (article  of the Constitutional Justice Act) and that, in view of such an omission by the Court, UNAH was subjected to serious and irreparable damages as a result of the arbitrary and discretionary actions taken liberally by the executing officer who, going beyond the scope of the ruling, illegally requested that the executive board of SIDUNAH join the governing body of UNAH, that the executive board of SIDUNAH be relieved of their academic duties, that physical spaces be assigned to the union, that the total number of teaching staff at UNAH be determined, and required payment and seized UNAH property in the amount of  million lempiras, which corresponds to the period from April  to December  (and not to July , as per the ruling), making arbitrary use of the list of all teachers at UNAH, ignoring the fact that not all of them are members of SIDUNAH, and as a result the ruling that they were instructed to carry out did not cover all of them. The Government notes that the funds were seized from the UNAH budget intended for the execution of its constitutional mandate to further higher education in the country, and not that corresponding to the union dues deducted from the salaries of teachers who are members of SIDUNAH.
.The Government notes that on  June , UNAH requested that the Court completely void the proceedings since the ruling appointing the executing officer and all of their actions, for having violated due process and having omitted to define the proceedings as laid down in article  of the Constitutional Justice Act, and due to the excesses of the executing officer in carrying out their mandate. The Government notes that UNAH has proposed that the declaration that implied consent had been given does not in itself give automatic authorization to what SIDUNAH had requested, since it is still necessary to comply with the requirements of the relevant norms, in this case, those contained in article  of the Labour Code. The Government notes that UNAH had not taken deductions from members of SIDUNAH, since they had not been accredited and had not submitted union membership rolls or the duly signed authorizations, accompanied by the fingerprints, employee number and identity number of every member of SIDUNAH for the purpose of the deduction from",1,2021,Honduras
1,"their salary of ordinary and extraordinary dues.
.The Government highlights that SIDUNAH s request and aim has always been to have transferred to it the amount corresponding to the deductions for union dues and contributions already credited to UNAH s other union, the Union of Workers of the Autonomous National University of Honduras (SITRAUNAH), which was founded in  and is comprised of workers from different sections of the university, from various professions, offices and specialities. The Government notes that, according to the meeting records,  members of SIDUNAH had resigned their membership of SITRAUNAH. The Government highlights that such resignations, in accordance with the provisions of articles  and  of the Labour Code, are very personal acts that should be carried out with the union that the person is a member of, or with their employer, and not at a meeting of another union, since they are required to notify their employer in writing. The Government notes that SIDUNAH claims to represent all university teachers and not only its members, which is an abuse of its right and violates the freedom of association of the teachers who are not members of SIDUNAH, that is to say, their freedom to freely and voluntarily decide whether or not to join that trade union. The Government notes that both the Secretary of State in the Department of Labour and Social Security and UNAH agree that SIDUNAH only represents those members who have joined the trade union, and not all teachers, as has been claimed.
.The Committee observes that in this case the complainants allege that UNAH refuses to recognize SIDUNAH and to transfer to it the sums of money corresponding to the union dues deducted from university teachers. They allege that, although in  the Constitutional Chamber of the Supreme Court of Justice granted SIDUNAH its appeal for amparo (remedy for the protection of constitutional rights) and ordered UNAH to recognize it and transfer to it sums corresponding to the union dues deducted from the teachers since April , UNAH did not comply, and therefore they requested the appointment of an executing officer, who seized the amount corresponding to the period from April  to  October  and is currently in the process of requesting the seizure for the period from November  to December , which is being stalled by the Central Bank.
.The Committee notes that in this regard the Government indicates that: (i) the request that SIDUNAH made on  April  for UNAH to recognize it and transfer to it the union dues had deficiencies and although it partially corrected the things that had been requested, it did not comply with several requests and therefore UNAH shelved the proceedings; (ii) on  October , SIDUNAH appealed that ruling and submitted a document stating that implied consent had been given in its favour; (iii) in its ruling on  July , the Court considered that implied consent had been given and ordered UNAH to recognize SIDUNAH and transfer to it the amount corresponding to the dues deducted from April  until the date of the ruling; (iv) in compliance with that, on  January , the rector s office of UNAH ordered the recognition of SIDUNAH and the implementation of deductions for members of SIDUNAH, in accordance with the membership rolls that the union would have to submit; (v) the Court did not oversee the work of the executing officer, who acted in an arbitrary and discretionary manner, going beyond the scope of the ruling and, among other things, seized UNAH property in the amount of  million lempiras, corresponding to the period from  to  (not what the ruling ordered) and using the list of all university teachers, many of whom belong to a different union, SITRAUNAH, causing UNAH serious and irreparable damages; and (vi) on  June , UNAH requested that all the proceedings since the appointment of the executing officer be declared void.
.The Committee notes that in its  ruling the Constitutional Chamber focused on the question of whether implied consent had been given and concluded that, since more than two years had passed and the State had not provided a response, that entailed approval of what SIDUNAH had requested in .
.The Committee notes that, according to the documentation provided, on the one hand is SITRAUNAH, the company or primary union, comprised of workers from different sections of the university, from various professions, offices and specialities, and on the other hand is SIDUNAH, which is an occupation-based trade union, which is to say that it is comprised of individuals who share the same profession, trade or speciality. The Committee notes that in the document that SIDUNAH presented to UNAH on  April , it is stated that because it is an occupation-based organization, it brings together and represents all the teaching staff who work at UNAH. It also states that SIDUNAH does not include UNAH s administrative and service staff  who have always been represented by the other union organization in which no teacher has had any participation due to the hegemony established by a group of administrative workers'  The Committee notes that in a report written by the Secretary of State in the Department of Labour and Social Security, dated  March , annexed to the Government s reply, they note that SIDUNAH represents its members and not all the teachers, as it had claimed. In that regard, the Committee recalls that workers in public or private universities shall have the right to establish organizations and to join them, [see Compilation of decisions of the Committee on Freedom of Association, sixth edition, , para. ] and in this case the teachers can choose to join whichever organization that they deem suitable.
.On the other hand, the Committee notes that article  of the Labour Code provides that, in order for there to be deductions of ordinary dues, the union must provide the company with, among other documents, the membership roll for those from whom deductions are to be made, which, according to the Government, have not been submitted to UNAH. In that regard, recalling that both legislation which imposes accreditation or proof of affiliation of members of the trade union for their union dues to be deducted from their wages, and legislation which stipulates that it suffices for a union to submit a list of members for the union dues to be deducted, are compatible with Convention No , the Committee trusts that, once the requirements established in the legislation have been complied with, UNAH will transfer to SIDUNAH the sums of money corresponding to the union dues that have been deducted from those of its members that have requested it. Noting that an appeal lodged by UNAH is pending resolution, and regretting that a request made by SIDUNAH almost a decade ago has not materialized, the Committee trusts that the Constitutional Chamber will soon rule and expects the Government to promote constructive dialogue between UNAH and SIDUNAH in the interests of contributing to the establishment of harmonious labour relations.
.In the light of its foregoing conclusions, the Committee invites the Governing Body to approve the following recommendations:(a)	The Committee trusts that, once the requirements established in the legislation have been complied with, the Autonomous National University of Honduras (UNAH) will transfer to the Teachers' Union of the Autonomous National University of Honduras (SIDUNAH) the sums of money corresponding to the union dues that have been deducted from those of its members that have requested it.(b)	The Committee trusts that the Constitutional Chamber will soon rule on the Appeal that has been lodged by UNAH and expects the Government to promote constructive dialogue between UNAH and SIDUNAH in the interests of contributing to the establishment of harmonious labour relations.(c)	The Committee considers that this case does not call for further examination and is closed.",1,2021,Honduras
2,".The complaint is contained in a communication from the Union of Workers of the sugar, honey, alcohol and similar industries in Honduras (SITIAMASH) dated  January  and communications from the Single Confederation of Workers of Honduras (CUTH) dated  May and  November .
.The Government of Honduras sent its observations regarding the allegations in communications dated  August  and  January .
.Honduras has ratified the Freedom of Association and Protection of the Right to Organise Convention,  (No. ) and the Right to Organise and Collective Bargaining Convention,  (No. ).
.In a communication dated  January , SITIAMASH states that, following a decision made by both organizations, the Union of Workers of the northern sugar refineries and allied workers in the Guanchias sector (SITRAZUNOSASG) and SITIAMASH agreed to merge, with the first trade union, established in an enterprise and its subsidiaries (hereafter the group trade union), becoming a branch of SITIAMASH, an industry-level union. In this respect, the organization adds that: (i) SITIAMASH, established in , is the main trade union for sugar workers in the country and is an affiliate of the Single Federation of Workers of Honduras, the Single Confederation of Workers of Honduras (CUTH) and the International Union of Food, Agricultural, Hotel, Restaurant, Catering, Tobacco and Allied Workers' Associations; (ii) the merger respected all the internal processes of both organizations, as well as the respective administrative processes, as noted in Resolution No. / of  March  issued by the State Secretariat of the Labour and Social Security Departments (STSS); (iii) under the merger, SITIAMASH and the group trade union agreed on the goal of  concluding collective agreements to ensure a decent and dignified life for sugar workers and fighting for the existence of only one collective agreement between workers and employers in the Honduran sugar industry'  and (iv) with the backing of the labour inspector and the legal representative responsible for the merger, the enterprise Azunosa (hereafter  the enterprise'  was informed of the merger in question, so that it could take the necessary steps, especially with regard to collective bargaining and the deduction of union dues in the enterprise.
.The complainant organization goes on to indicate that, on  December , the group trade union notified the STSS of its unilateral separation from SITIAMASH. In this respect, the complainant organization states that: (i) at no time was SITIAMASH informed of this separation process, which is not provided for in the labour legislation; (ii) in violation of the labour legislation, the labour administration, through Resolution No. / of  December , immediately registered the separation without any administrative processes having been undertaken and without demanding the fulfilment of all the requirements and processes that had been put in place during the merger; and (iii) the labour administration proceeded to immediately recognize a new executive committee of the group trade union.
.The complainant organization also alleges that: (i) the workers who opposed the separation were dismissed; (ii) the enterprise did not agree to receive a visit from the labour inspector following the complaint filed by SITIAMASH alleging the illegality of the separation and the dismissals; (iii) the enterprise never fulfilled its obligation to send SITIAMASH the union dues of unionized workers following the merger concluded on  March ; (iv) in this context, the President of SITIAMASH has been followed and his place of residence has been under surveillance; and (v) the lawyer appointed by SITIAMASH to undertake the administrative and legal action related to the trade union merger process and the aforementioned dismissals was the victim of an attack on  January  during which her car and place of residence were shot at several times, luckily she avoided physical injury.
.In a communication dated  May , the CUTH provided additional information on the allegations presented by SITIAMASH. The CUTH stated specifically that: (i) the merger of the group trade union and SITIAMASH, officially registered by the labour administration on  March , resulted from a decision by the group trade union s general assembly on  August , which did not face any opposition from the enterprise or the labour administration at that time; (ii) as a result of the merger, the group trade union had become the Guanchias branch of SITIAMASH; (iii) on  May , the Guanchias branch of SITIAMASH presented the enterprise with a list of demands concerning all workers who performed their work on the enterprise s premises, including workers directly employed by the enterprise and those employed though third-party companies; (iv) as noted in several inspection reports, the enterprise refused to engage in the dialogue that was repeatedly requested by SITIAMASH; (v) in violation of the legislation, the labour administration refused to appoint a mediator, as had been requested by SITIAMASH; (vi) on  November , the enterprise, with the collusion of some workers occupying positions of trust and without seeking avenues for negotiation with SITIAMASH, established a parallel executive committee of the defunct group trade union, claiming that it had been appointed by the union s general assembly, although the union had already merged with SITIAMASH, in accordance with the wishes of that general assembly; (vii) subsequently, the new parallel executive committee, without the permission of the general assembly, initiated a separation process, without duly notifying SITIAMASH and unbeknownst to the members of its Guanchias branch; (viii) the enterprise negotiated five collective agreements with the aforementioned executive committee within three months, which were registered by the STSS as agreements with companies subcontracted by the enterprise; (ix) on  July , the enterprise dismissed Gustavo Alberto Quiroz Baquedano, Francisco Enrique Mendoza Canales, Rubn Daro Umanzor, Maynor Jos Ponce, Rony Alexis Cruz and Jos Magdaleno Bentez, all workers who were members of the executive committee of the Guanchias branch of SITIAMASH; (x) almost two years after the filing of a complaint regarding the violation of the trade union rights of the aforementioned trade union leaders, they are still waiting for the penalties provided for in the Labour Inspection Act to be imposed; (xi) the members of the Guanchias branch of SITIAMASH have been subject to coercion, threats of dismissal and offers of employment and economic benefits to leave their union and join the union orchestrated by the enterprise, and a permanent campaign of intimidation has been maintained with armed security guards stationed in the work areas in order to monitor and harass members of the Guanchias branch; and (xii) on  August , a request was filed with the STSS to oppose the registration of the aforementioned collective agreements on the grounds that the group trade union lacked legal representativeness and was a union sponsored by the employer.
.In view of the above, the complainant alleges that: (i) since the group trade union was legally and duly merged with SITIAMASH, the election of a new executive committee of the defunct group trade union constitutes a mechanism for the creation of a parallel union, running counter to the interests of the workers as expressed in the assembly that authorized the merger of the unions; and (ii) the election of the executive committee of the trade union sponsored by the enterprise and parallel to the Guanchias branch of SITIAMASH and the registration of collective agreements were illegal administrative acts because SITIAMASH was never summoned by either the group trade union or the STSS and the negotiation of the collective agreements was carried out in absence of the Guanchias branch of SITIAMASH.
.In a communication dated  November , the CUTH alleges an escalation of the harassment, intimidation, threats and persecution against the senior members of the SITIAMASH branch present in the enterprise. The CUTH alleges in particular: (i) the unjustified dismissal on  October  of Carlos Rivera, Secretary-General of the branch of SITIAMASH in the enterprise; and (ii) threats of dismissal against the other workers of the enterprise who maintained their membership of SITIAMASH.
.In a communication dated  November , the Government indicates that the State of Honduras respects Conventions Nos  and  and refrains from acts of interference of any kind into trade unions' activities. The Government specifically indicates that: (i) the STSS registered the merger of the group trade union and SITIAMASH through Resolution No. / of  March  and that the relevant information can be found in the archives of the General Labour Directorate in the Department of Civil Organizations; (ii) however, the archives of this office do not contain a record of the locations in which SITIAMASH has branches; (iii) there is no evidence in the General Labour Directorate of the withdrawal of the legal personality of the group trade union, and this legal personality therefore remains valid; (iv) on  November , Mr Montenegro Orellana appeared before the General Labour Directorate to notify it of the new executive committee of the group trade union; (v) as the public authorities must refrain from any interference which would restrict the right of the organizations to organize their administration, the General Labour Directorate took note of the",1,2020,Honduras
3,"new executive committee of the group trade union through Resolution No. / of  December ; (v) the executive committee of the group trade union notified the General Labour Directorate through a notarized communication of  December  of the union s decision to separate from SITIAMASH; and (vi) in an order dated  January  the General Labour Directorate acknowledged the decision of the union and, owing to the nature of the request and in strict respect for trade union independence, did not initiate any administrative procedures.
.The Government states that the group trade union registered and concluded six collective agreements with different enterprises (Servicios Agrcolas de Soldaduras y Derivados de Montajes Estructuras Metlicas; Empresa Agrcola EMMODEI; Servicios Mltiples Tilos; Empresa de Operaciones de Industrias Metlicas; Servicios Mltiples Martnez; and Empresa Agrcola (ESAO)). The Government indicates that three of these collective agreements prompted SITIAMASH to file an appeal, and these appeals are currently being processed under the applicable administrative procedures. Insofar as the collective bargaining was undertaken through direct arrangements, the STSS never intervened in the bargaining process between the group trade union and the enterprises. Lastly, the Government adds that the alleged dismissals of senior members of SITIAMASH and the alleged persecution of that organization s President are currently being investigated and that it is not aware of the aspects of the allegations related to trade union dues.
.In a communication dated  January , the Government confirms that the merger between the group trade union and SITIAMASH was the result of a decision of the general assembly of the group trade union of  August , which was registered by the labour administration on  March . The Government stresses that this merger represents an exclusive action of the trade union. Regarding the allegations that the STSS denied SITIAMASH s request to appoint a mediator to begin negotiations with the enterprise on the list of demands presented by SITIAMASH, the Government states that the applicants did not fulfil the legal requirements to initiate a mediation process, as it is necessary to demonstrate that the direct settlement stage has expired.
.With respect to the registration of the new executive committee of the group trade union, the Government reiterates that, although the STSS was notified of the merger of the aforementioned union with SITIAMASH, the withdrawal of the legal personality of the group trade union did not appear in the archives of the General Labour Directorate, for this reason it could not deny the request to register the new executive committee. The Government adds that, with regard to the collective agreements concluded by the group trade union, the STSS did not participate in any way and, in accordance with the principle of good faith and collective autonomy, limited itself to registering the collective agreements concluded, as they complied with the law.
.The Government reiterates that it also limited itself to taking note of the group trade union s decision to separate from SITIAMASH, proving that the STSS did not interfere in any trade union. The Government states that, in this case, the separation is indicative of a conflict within the trade union, and the resolution of this type of conflict is the responsibility of the conciliation and arbitration boards.
.With regard to the dismissals of the members of the executive committee of the Guanchias branch of SITIAMASH, the Government states that, under section  of the Labour Code, the violation of trade union immunity must be proven before the competent labour court. The Government adds that the complainant organization contradicts itself as, on the one hand, it indicates that the labour inspectorate verified the above-mentioned dismissals and, on the other hand, it alleges delays in the action of the STSS. In relation to the allegations of coercion and threats against the members of the Guanchias branch of SITIAMASH, the Government states that the complainants have not indicated precisely who has perpetrated coercion and in what way.
.The Committee notes that this case refers to allegations of the violation of freedom of association and collective bargaining in an enterprise in the sugar sector in connection with the merger between a trade union present in an enterprise in the sector and its subsidiaries (hereafter the group trade union) with an industry-level trade union, SITIAMASH. The Committee notes the complainant organizations' allegations of: (i) the establishment of a parallel trade union with close ties to enterprise through the irregular registration of the executive committee of the group trade union, even though the union had already merged with SITIAMASH, and subsequently through the irregular separation of the group trade union from SITIAMASH; (ii) the obstruction of the collective bargaining undertaken by the branch of SITIAMASH and the irregular registration of collective agreements concluded by the new executive committee of the group trade union; (iii) the dismissal of the leaders of the branch of SITIAMASH and its Secretary-General; and (iv) threats and acts of anti-union violence against the President of SITIAMASH and the lawyer advising the organization. The Committee also notes that the Government states that it fully respects trade union independence, the labour administration has not carried out any act of interference in favour of any of the unions involved in this case and the labour inspectorate has fulfilled its obligations with respect to the allegations.
.With respect to the relationship between the group trade union and SITIAMASH, the Committee notes that, on the basis of the information provided by the parties, the following chronology of events can be inferred: (i) on  August , the general assembly of the group trade union decided to merge with SITIAMASH; (ii) this merger was registered by the labour administration in a resolution of  March ; (iii) on  May , the branch of SITIAMASH presented a list of demands to the enterprise related to the terms and conditions of employment of all workers who performed work on the enterprise s premises; (iv) in November , the STSS was notified of an executive committee of the group trade union that had merged with SITIAMASH and registered it through Resolution No. / of  December ; (v) on  December , the group trade union notified the STSS of its separation from SITIAMASH, the labour administration took note of this decision through an order of  January ; and (vi) over the following months, the group trade union concluded a series of collective agreements with various companies contracted by the enterprise.
.The Committee notes the complainant organizations' allegations that: (i) the reactivation of the group trade union with workers occupying positions of trust in the enterprise had the effect of establishing, with the support of the labour administration, a trade union controlled by the enterprise, parallel to the branch of SITIAMASH; (ii) the labour administration should not have registered the new executive committee of the group trade union because that organization had not existed since its merger with SITIAMASH; and (iii) the separation process of the group trade union, of which SITIAMASH was not informed and which was immediately registered by the labour administration, had not been subjected to the requirements that had accompanied the merger process between the two trade unions.
.The Committee notes the Government s indications that: (i) although the labour administration had a record of the merger between the group trade union and SITIAMASH, it did not have a record of the withdrawal of the legal personality of the group trade union or the locations in which SITIAMASH had branches; (ii) in accordance with the principle of non-interference, the Government had limited itself to registering the different decisions that had been sent by the trade unions; (iii) the labour administration was informed of the decision of the general assembly of the group trade union to separate from SITIAMASH; and (iv) owing to the nature of the request it had received and with strict respect for trade union independence, the labour administration took note of this decision and did not initiate any type of administrative procedure in that respect.
.The Committee observes that, in view of the foregoing, there is a controversy regarding the legitimacy and the validity of the appointment of the executive committee of the group trade union following its merger with SITIAMASH and the separation of the group trade union from the industry-level union. The Committee observes the Government s consideration that the situation in question reflects the existence of a conflict within a trade union, while the complainant organizations allege that it demonstrates the existence of interference aimed at facilitating the establishment of a union controlled by the enterprise, in a context of anti-union acts against senior members of SITIAMASH. The Committee recalls on the one hand, that it has emphasized the fundamental principle of workers being able to join organizations of their own choosing and of the enterprise not interfering in favour of a trade union and that respect for the principles of freedom of association requires that the public authorities exercise great restraint in relation to intervention in the internal affairs of trade unions. It is even",0,2020,Honduras
4,"more important that employers exercise restraint in this regard. They should not, for example, do anything which might seem to favour one group within a union at the expense of another [see Compilation of decisions of the Committee on Freedom of Association, sixth edition, , paras  and ]. The Committee recalls on the other hand, that it has considered that the Committee is not competent to make recommendations on internal dissentions within a trade union organization, so long as the government does not intervene in a manner which might affect the exercise of trade union rights and the normal functioning of an organization and that when internal disputes arise in a trade union organization they should be resolved by the persons concerned (for example, by a vote), by appointing an independent mediator with the agreement of the parties concerned, or by intervention of the judicial authorities [see Compilation, paras  and ]. While noting that it has not been informed of initiatives aimed at finding an internal solution for the organizations in question, the Committee observes that the annexes provided by the complainant organizations show that SITIAMASH took court action to have the group trade union dissolved. The Committee therefore requests the Government and the complainant organizations to provide information on the results of that action, and on other potential court action that SITIAMASH might have initiated in connection to the allegations of irregularities made by the complainant organizations in relation to the separation of the group trade union from SITIAMASH.
.With respect to the allegations regarding the collective bargaining with the enterprise and its subsidiaries, the Committee notes the complainant organization s assertions that: (i) the enterprise has refused to discuss the list of demands presented by SITIAMASH in May  with a view to regulating the terms and conditions of employment of all workers performing work on the enterprise s premises, whether employed directly by the enterprise or by its subsidiaries; (ii) the labour administration refused to appoint the mediator requested by SITIAMASH; (iii) instead, at the beginning of , the labour administration registered a series of collective agreements concluded by the group trade union with various subsidiary companies without involving SITIAMASH and its branch in the collective bargaining process; and (iv) SITIAMASH opposed the registration of the collective agreements in question before the labour administration because the group trade union lacked legal representativeness and was an organization sponsored by the employer. The Committee notes the Government s indications that: (i) SITIAMASH did not fulfil the legal requirements for the appointment of a mediator as it had not demonstrated the expiry of the direct settlement period with the enterprise; (ii) SITIAMASH made administrative appeals against three of the six collective agreements negotiated and concluded by the group trade union; and (iii) in accordance with the principle of collective autonomy and after having verified the legality of the collective agreements concluded by the group trade union, the labour administration registered those agreements.
.The Committee duly notes the information provided by the complainant organization and the Government. In particular, the Committee notes that: (i) the complainant organizations allege that SITIAMASH was not involved in the collective bargaining processes initiated at the beginning of  by the group trade union, an organization that they claim lacked legal representativeness and proper independence; and (ii) the complainant organizations state that, in August , SITIAMASH presented a list of demands covering all workers of the enterprise and its subsidiaries, a point that has not been refuted by the Government. In this respect, the Committee recalls its consideration that in order to determine whether an organization has the capacity to be the sole signatory to collective agreements, two criteria should be applied: representativeness and independence. In the Committee s view, the determination of which organizations meet these criteria should be carried out by a body offering every guarantee of independence and objectivity [see Compilation, para. ]. The Committee also observes that, under section  of the Honduran Labour Code, if there are several unions within the same company, the collective agreement must be concluded with the one with the largest number of workers in the negotiation. Noting the Government s indications that SITIAMASH had submitted an administrative appeal against the registration of collective agreements that the STSS had determined to be legal, the Committee requests the Government to specify the criteria the STSS used to confirm that the group trade union was independent and more representative. The Committee also requests the complainant organizations to indicate whether the labour administration decisions in question had been contested before the courts.
.With respect to the allegations of the anti-union dismissal of the senior members of the Guanchias branch of SITIAMASH, the Committee notes the trade union s allegations that: (i) six senior members of the Guanchias branch were dismissed on  July ; (ii) two years after filing a complaint for the violation of trade union rights, the penalties provided for in the legislation still have not been imposed; and (iii) the Secretary-General of the above-mentioned branch, Mr Carlos Rivera, was dismissed without cause on  October . The Committee also notes that the Government: (i) indicates in its first communication that the dismissals of July  were being investigated; (ii) stated in its second communication that the labour inspectorate had confirmed the dismissals and, given that an allegation of the violation of trade union immunity had been made, the matter fell under the jurisdiction of the labour courts; and (iii) has not referred to the alleged dismissal without cause of the Secretary-General of SITIAMASH. The Committee also observes that it emerges from the documents and annexes provided by the complainant organizations that: (i) in an official communication dated  August  and addressed to the labour inspectorate, the lawyer of the dismissed senior members of the trade union concluded the administrative procedures related to the dismissals in order to begin court proceedings and requested the inspectorate to undertake investigations into a potential violation of section  of the Labour Code, which provides for the imposition of a fine in the case of a violation of the right to freedom of association; and (ii) a court action for the reinstatement of the six dismissed workers was lodged on  October . The Committee recalls that no one should be subjected to anti-union discrimination because of legitimate trade union activities and the remedy of reinstatement should be available to those who are victims of anti-union discrimination and where cases of alleged anti-union discrimination are involved, the competent authorities dealing with labour issues should begin an inquiry immediately and take suitable measures to remedy any effects of anti-union discrimination brought to their attention [see Compilation, paras  and ]. In addition, observing that the court action initiated against the dismissals that took place in  has reportedly still not received a ruling, the Committee recalls that cases concerning anti-union discrimination should be examined rapidly, so that the necessary remedies can be really effective; an excessive delay in processing such cases constitutes a serious attack on the trade union rights of those concerned [see Compilation, para. ]. In view of the foregoing, the Committee requests the Government to: (i) provide information on the execution and the outcomes of the investigations requested by SITIAMASH for the violation of the right to freedom of association resulting from the dismissal of several of its senior members in July ; and (ii) provide its observations regarding the alleged dismissal of the Secretary-General of the SITIAMASH branch in October . The Committee also requests that the necessary measures be taken to ensure that the court action initiated in relation to the above-mentioned dismissals is concluded in the near future in accordance with freedom of association and requests the Government to keep it informed in this respect.
.In relation to the allegations of threats, coercion and acts of anti-union violence in the context of the merger and separation of the two unions in question, the Committee notes the complainant organizations' specific allegations of: (i) threats of dismissal and offers of employment and economic benefits for the members of the Guanchias branch of SITIAMASH to leave that union and join the union orchestrated by the enterprise; (ii) the presence of armed security guards in the workplace to monitor and harass SITIAMASH members; (iii) the persecution of the President of SITIAMASH and the surveillance of his house; and (iv) the attack on  January  with several gunshots aimed at the vehicle and house of the lawyer appointed by SITIAMASH to monitor the files related to the present case. The Committee notes the Government s indication that the allegations of threats and coercion against SITIAMASH members lack specific information regarding the form of the acts and their perpetrators. The Committee also notes that the Government: (i) indicated in its first communication that the alleged persecution of the SITIAMASH President was being investigated, an element about which it did not provide further information in its second communication; and (ii) has not provided its",0,2020,Honduras
