,Topic,Words,Frequency,Timestamp
0,-1,"cggma, railway, irow, rondn, federico",5,1949.928
1,1,"arayas, hortiz, elsia, colombian, trace",2,1949.928
2,3,"dictatorial, argentine, pern, enactments, espionage",2,1949.928
3,4,"conventionthis, federations, brotherhood, bolivian, codearticle",7,1949.928
4,5,"lovett, peruvian, sandoval, labor, delaney",2,1949.928
5,6,"venezuela, petroleum, venezuelan, oilworkers, dissolution",12,1949.928
6,7,"democracy, chilean, argumentsa, measuresa, siege",2,1949.928
7,14,"brazilian, telephonists, occupations, antisocial, loyalty",3,1949.928
8,15,"dominican, franco, invitation, interamerican, directorgeneral",4,1949.928
9,18,"desiring, traditionally, lockouts, reestablished, parliamentary",1,1949.928
10,25,"lzaro, pea, ordoqui, morera, gallo",1,1949.928
11,-1,"moacyr, fetraba, foba, pact, rgime",4,1953.6
12,0,"supplemented, nitrate, chile, goldsack, liberated",6,1953.6
13,1,"ctal, colombian, unionism, extraction, salt",2,1953.6
14,2,"reminders, earliest, regretting, moment, paragraphs",1,1953.6
15,3,"argentine, siege, iscaro, rubens, publications",6,1953.6
16,4,"write, literate, agricultural, read, workingthe",2,1953.6
17,7,"chile, andj, chilean, thereon, supplemented",4,1953.6
18,8,"guatemalan, guatemala, assets, dissolved, dissolution",9,1953.6
19,9,"carpio, cayetano, disseminated, salvador, bakery",1,1953.6
20,11,"foba, fetraba, pact, costa, bill",2,1953.6
21,12,"emanating, massacres, complimented, banditry, yosa",1,1953.6
22,15,"dominican, rgime, trujillo, congresses, sovereign",3,1953.6
23,19,"tegucigalpa, tela, honduras, ceiba, velzquez",2,1953.6
24,21,"insfrn, grau, functionsii, unioni, replyb",1,1953.6
25,25,"cuba, criticised, decrees, regarded, intervention",2,1953.6
26,-1,"bucci, foecyt, posting, robacio, privilege",5,1957.2
27,0,"michel, refrigeration, unoh, thzine, railwaymens",2,1957.2
28,3,"argentine, mobilisation, posting, argentina, robacios",15,1957.2
29,4,"distinction, guild, accorded, privileged, stewardship",2,1957.2
30,11,"costa, futra, rica, draw, bandung",2,1957.2
31,16,"subdirector, award, guayaquil, coastal, stipulations",1,1957.2
32,30,"michel, unoh, haiti, nathanael, isidore",4,1957.2
33,-1,"ossandn, madeco, paragraphs, snchez, furnish",13,1960.8
34,0,"riani, huayllamba, idovro, aroca, cedoc",15,1960.8
35,1,"patrol, demonstrators, rifle, boyac, grenades",2,1960.8
36,3,"argentine, soima, argentina, kristoff, luduea",12,1960.8
37,4,"majority, twothirds, vote, fash, railways",7,1960.8
38,5,"puno, banks, presidential, peru, decrees",4,1960.8
39,6,"printing, fragmentation, dominated, zulia, defer",1,1960.8
40,7,"agricultural, agriculture, chilean, thatwageearning, seasonal",2,1960.8
41,8,"muralles, paz, redondo, christian, appreciating",2,1960.8
42,10,"ginsa, siginsa, rubber, sitracs, factory",1,1960.8
43,11,"gamboa, puntarenas, christian, claudio, clearer",1,1960.8
44,12,"ballot, writer, ceiling, prices, remarkable",2,1960.8
45,14,"ja, argeu, ferrari, paragraphs, gavino",3,1960.8
46,15,"fenama, dominican, monegro, schoolteachers, polivio",4,1960.8
47,16,"works, railwaymens, cedoc, signatures, ecuador",3,1960.8
48,17,"railwaymen, vallejo, mexican, receivable, mexico",1,1960.8
49,18,"councils, industry, uruguay, bill, appointed",2,1960.8
50,19,"honduras, salinas, barnica, sinaseph, portillo",7,1960.8
51,22,"panama, ctrp, cuttings, furnish, panamab",3,1960.8
52,23,"lechn, oquendo, convenient, good, bolivia",1,1960.8
53,25,"cuba, cuban, furnish, revolutionary, reaffirm",8,1960.8
54,30,"uih, mercy, discharged, militants, guerrior",1,1960.8
55,-1,"esguerra, dockers, tolosa, mexicanos, bareiro",15,1964.4
56,0,"oquendo, lechin, pimentel, trillo, trial",16,1964.4
57,1,"cstc, antioquea, analferaux, agudelo, accin",6,1964.4
58,3,"rationalisation, argentine, argentina, chemical, disorders",7,1964.4
59,4,"tolosa, cstc, supa, dockers, vital",3,1964.4
60,5,"tourist, plus, puno, cuzco, decisionthe",1,1964.4
61,6,"scott, paragraphs, findol, landaz, lucker",1,1964.4
62,8,"fasgua, levelled, guatemala, ovando, mayn",3,1964.4
63,9,"allegationsalthough, termsconcerned, substantiation, ifctus, ifctu",1,1964.4
64,11,"belforth, quesada, rica, costa, rojass",2,1964.4
65,12,"cutv, marcano, good, abovegeneva, carbajal",3,1964.4
66,13,"ifctu, macias, madariaga, nicaragua, mosan",3,1964.4
67,14,"osasco, petroleum, bahia, distilling, guanabara",2,1964.4
68,15,"dominican, conatral, pacce, mobs, orit",5,1964.4
69,16,"ptti, ecuador, fenetel, insertion, complaining",5,1964.4
70,17,"parral, mexicanos, engagement, mexico, exclusion",2,1964.4
71,18,"uruguay, tricontinental, visas, theory, havana",2,1964.4
72,19,"boards, fecesitlih, honduras, lindo, matamoros",1,1964.4
73,21,"cold, store, paraguay, administrators, clasc",2,1964.4
74,22,"chiriqui, slaughterhouse, nonadmission, inspectorgeneral, panama",3,1964.4
75,23,"bolivia, barrisueta, asib, bolivian, siglo",7,1964.4
76,25,"ort, cuba, cuban, exile, corporations",2,1964.4
77,27,"respectivelyc, bahia, subparagraph, preceding, possession",1,1964.4
78,29,"bolivian, sora, bolivia, reregister, schoolteachers",1,1964.4
79,-1,"riveros, agripino, homoeopathy, christian, occasioned",25,1968.0
80,0,"hansen, olavo, hansens, kidney, ute",12,1968.0
81,1,"clasc, congress, vela, deputation, valencia",5,1968.0
82,2,"herrera, roads, pointless, dutiesb, unfoundedh",2,1968.0
83,3,"ongaro, juregui, argentina, argentinian, tucumn",10,1968.0
84,4,"poasi, unachosin, romana, homoeopathy, preamble",3,1968.0
85,5,"eighteen, peruvian, settlement, presidential, advantages",2,1968.0
86,6,"mollegas, mercano, cadafe, fetrametal, elctrico",2,1968.0
87,7,"thirtyfive, sumar, administrator, manufacturas, exleaders",1,1968.0
88,8,"vldez, girn, tereso, oliva, tailors",3,1968.0
89,9,"luvecce, luvecces, larin, blackmail, pompilio",2,1968.0
