,Topic,Words,Frequency,Timestamp
0,-1,"irow, rondn, federico, quijada, reaffirmed",2,1949.928
1,0,"railway, cggma, federations, brotherhood, conventionthis",11,1949.928
2,1,"dictatorial, pern, enactments, espionage, emanating",2,1949.928
3,2,"lovett, sandoval, labor, telegram, delaney",2,1949.928
4,3,"petroleum, oilworkers, dissolution, cofetrov, sixth",12,1949.928
5,5,"democracy, siege, argumentsa, measuresa, modifications",2,1949.928
6,9,"franco, invitation, interamerican, excellency, unratified",4,1949.928
7,10,"telephonists, occupations, antisocial, loyalty, mad",3,1949.928
8,12,"tapachula, ejidatarios, sundry, fresnillo, confederacin",1,1949.928
9,13,"desiring, traditionally, lockouts, reestablished, parliamentary",1,1949.928
10,18,"pea, ordoqui, morera, gallo, democratic",1,1949.928
11,-1,"rgime, atrocities, constitutions, paragraphs, deaths",2,1953.6
12,0,"supplemented, nitrate, publications, goldsack, liberated",13,1953.6
13,1,"siege, iscaro, rubens, publications, revolutionary",6,1953.6
14,4,"assets, dissolved, dissolution, educational, communist",9,1953.6
15,5,"andj, thereon, supplemented, incompatibility, understood",4,1953.6
16,6,"carpio, cayetano, disseminated, bakery, liberated",1,1953.6
17,7,"foba, fetraba, pact, communist, bill",3,1953.6
18,9,"rgime, trujillo, congresses, sovereign, icftus",3,1953.6
19,14,"ceiba, velzquez, railroad, laitano, parker",2,1953.6
20,17,"insfrn, grau, functionsii, unioni, furnish",1,1953.6
21,18,"criticised, decrees, regarded, intervention, texts",2,1953.6
22,0,"bucci, distinction, refrigeration, foecyt, posting",9,1957.2
23,1,"mobilisation, posting, robacios, sebba, robacio",15,1957.2
24,7,"futra, draw, ricab, bandung, lateriii",2,1957.2
25,12,"subdirector, award, coastal, stipulations, awardallegations",1,1957.2
26,20,"nathanael, leblanc, isidore, crafts, dessalines",4,1957.2
27,-1,"vallejo, inexistentes, rolling, perturb, obedience",2,1960.8
28,0,"ossandn, riani, madeco, furnish, paragraphs",37,1960.8
29,1,"soima, kristoff, brotherhood, luduea, posting",12,1960.8
30,2,"banks, puno, presidential, decrees, establishments",4,1960.8
31,3,"printing, fragmentation, dominated, zulia, defer",1,1960.8
32,4,"muralles, redondo, christian, appreciating, eustaquio",2,1960.8
33,5,"agricultural, agriculture, thatwageearning, seasonal, discrepancies",2,1960.8
34,7,"gamboa, puntarenas, christian, claudio, clearer",1,1960.8
35,8,"ferrari, argeu, gavino, conventionshaving, montreal",1,1960.8
36,9,"monegro, schoolteachers, paragraphs, polivio, mrs",4,1960.8
37,10,"ja, argeu, ferrari, paragraphs, gavino",3,1960.8
38,11,"railwaymen, vallejo, receivable, convicted, railway",1,1960.8
